,State,County,Abbreviation
0,Alabama,Baldwin,AL
1,Alabama,Clay,AL
2,Alabama,Colbert,AL
3,Alabama,DeKalb,AL
4,Alabama,Elmore,AL
5,Alabama,Etowah,AL
6,Alabama,Houston,AL
7,Alabama,Jefferson,AL
8,Alabama,Lawrence,AL
9,Alabama,Madison,AL
10,Alabama,Mobile,AL
11,Alabama,Montgomery,AL
12,Alabama,Morgan,AL
13,Alabama,Russell,AL
14,Alabama,Shelby,AL
15,Alabama,Sumter,AL
16,Alabama,Talladega,AL
17,Alabama,Tuscaloosa,AL
18,Alaska,Aleutians East,AK
19,Alaska,Anchorage,AK
20,Alaska,Denali,AK
21,Alaska,Fairbanks North Star,AK
22,Alaska,Juneau,AK
23,Alaska,Kenai Peninsula,AK
24,Alaska,Matanuska-Susitna,AK
25,Alaska,Yukon-Koyukuk,AK
26,Arizona,Apache,AZ
27,Arizona,Cochise,AZ
28,Arizona,Coconino,AZ
29,Arizona,Gila,AZ
30,Arizona,La Paz,AZ
31,Arizona,Maricopa,AZ
32,Arizona,Mohave,AZ
33,Arizona,Navajo,AZ
34,Arizona,Pima,AZ
35,Arizona,Pinal,AZ
36,Arizona,Santa Cruz,AZ
37,Arizona,Yavapai,AZ
38,Arizona,Yuma,AZ
39,Arkansas,Arkansas,AR
40,Arkansas,Ashley,AR
41,Arkansas,Clark,AR
42,Arkansas,Crittenden,AR
43,Arkansas,Garland,AR
44,Arkansas,Jackson,AR
45,Arkansas,Newton,AR
46,Arkansas,Polk,AR
47,Arkansas,Pulaski,AR
48,Arkansas,Union,AR
49,Arkansas,Washington,AR
50,California,Alameda,CA
51,California,Alpine,CA
52,California,Amador,CA
53,California,Butte,CA
54,California,Calaveras,CA
55,California,Colusa,CA
56,California,Contra Costa,CA
57,California,Del Norte,CA
58,California,El Dorado,CA
59,California,Fresno,CA
60,California,Glenn,CA
61,California,Humboldt,CA
62,California,Imperial,CA
63,California,Inyo,CA
64,California,Kern,CA
65,California,Kings,CA
66,California,Lake,CA
67,California,Los Angeles,CA
68,California,Madera,CA
69,California,Marin,CA
70,California,Mariposa,CA
71,California,Mendocino,CA
72,California,Merced,CA
73,California,Mono,CA
74,California,Monterey,CA
75,California,Napa,CA
76,California,Nevada,CA
77,California,Orange,CA
78,California,Placer,CA
79,California,Plumas,CA
80,California,Riverside,CA
81,California,Sacramento,CA
82,California,San Benito,CA
83,California,San Bernardino,CA
84,California,San Diego,CA
85,California,San Francisco,CA
86,California,San Joaquin,CA
87,California,San Luis Obispo,CA
88,California,San Mateo,CA
89,California,Santa Barbara,CA
90,California,Santa Clara,CA
91,California,Santa Cruz,CA
92,California,Shasta,CA
93,California,Siskiyou,CA
94,California,Solano,CA
95,California,Sonoma,CA
96,California,Stanislaus,CA
97,California,Sutter,CA
98,California,Tehama,CA
99,California,Trinity,CA
100,California,Tulare,CA
101,California,Tuolumne,CA
102,California,Ventura,CA
103,California,Yolo,CA
104,Colorado,Adams,CO
105,Colorado,Alamosa,CO
106,Colorado,Arapahoe,CO
107,Colorado,Archuleta,CO
108,Colorado,Boulder,CO
109,Colorado,Chaffee,CO
110,Colorado,Clear Creek,CO
111,Colorado,Delta,CO
112,Colorado,Denver,CO
113,Colorado,Douglas,CO
114,Colorado,El Paso,CO
115,Colorado,Fremont,CO
116,Colorado,Garfield,CO
117,Colorado,Gunnison,CO
118,Colorado,Jackson,CO
119,Colorado,Jefferson,CO
120,Colorado,La Plata,CO
121,Colorado,Larimer,CO
122,Colorado,Mesa,CO
123,Colorado,Moffat,CO
124,Colorado,Montezuma,CO
125,Colorado,Park,CO
126,Colorado,Pitkin,CO
127,Colorado,Prowers,CO
128,Colorado,Pueblo,CO
129,Colorado,Rio Blanco,CO
130,Colorado,Routt,CO
131,Colorado,San Juan,CO
132,Colorado,San Miguel,CO
133,Colorado,Weld,CO
134,Connecticut,Fairfield,CT
135,Connecticut,Hartford,CT
136,Connecticut,Litchfield,CT
137,Connecticut,Middlesex,CT
138,Connecticut,New Haven,CT
139,Connecticut,New London,CT
140,Connecticut,Tolland,CT
141,Connecticut,Windham,CT
142,Country Of Mexico,BAJA CALIFORNIA NORTE,
143,Country Of Mexico,CHIHUAHUA STATE,
144,Delaware,Kent,DE
145,Delaware,New Castle,DE
146,Delaware,Sussex,DE
147,District Of Columbia,District of Columbia,
148,Florida,Alachua,FL
149,Florida,Baker,FL
150,Florida,Bay,FL
151,Florida,Brevard,FL
152,Florida,Broward,FL
153,Florida,Citrus,FL
154,Florida,Collier,FL
155,Florida,Columbia,FL
156,Florida,Duval,FL
157,Florida,Escambia,FL
158,Florida,Flagler,FL
159,Florida,Hamilton,FL
160,Florida,Highlands,FL
161,Florida,Hillsborough,FL
162,Florida,Holmes,FL
163,Florida,Indian River,FL
164,Florida,Lake,FL
165,Florida,Lee,FL
166,Florida,Leon,FL
167,Florida,Liberty,FL
168,Florida,Manatee,FL
169,Florida,Marion,FL
170,Florida,Martin,FL
171,Florida,Miami-Dade,FL
172,Florida,Nassau,FL
173,Florida,Okaloosa,FL
174,Florida,Orange,FL
175,Florida,Osceola,FL
176,Florida,Palm Beach,FL
177,Florida,Pasco,FL
178,Florida,Pinellas,FL
