,State,County,Abbreviation
400,Maryland,Baltimore (City),MD
401,Maryland,Calvert,MD
402,Maryland,Carroll,MD
403,Maryland,Cecil,MD
404,Maryland,Charles,MD
405,Maryland,Dorchester,MD
406,Maryland,Frederick,MD
407,Maryland,Garrett,MD
408,Maryland,Harford,MD
409,Maryland,Howard,MD
410,Maryland,Kent,MD
411,Maryland,Montgomery,MD
412,Maryland,Prince George's,MD
413,Maryland,Washington,MD
414,Massachusetts,Barnstable,MA
415,Massachusetts,Berkshire,MA
416,Massachusetts,Bristol,MA
417,Massachusetts,Dukes,MA
418,Massachusetts,Essex,MA
419,Massachusetts,Franklin,MA
420,Massachusetts,Hampden,MA
421,Massachusetts,Hampshire,MA
422,Massachusetts,Middlesex,MA
423,Massachusetts,Norfolk,MA
424,Massachusetts,Plymouth,MA
425,Massachusetts,Suffolk,MA
426,Massachusetts,Worcester,MA
427,Michigan,Allegan,MI
428,Michigan,Bay,MI
429,Michigan,Benzie,MI
430,Michigan,Berrien,MI
431,Michigan,Cass,MI
432,Michigan,Chippewa,MI
433,Michigan,Clinton,MI
434,Michigan,Genesee,MI
435,Michigan,Huron,MI
436,Michigan,Ingham,MI
437,Michigan,Kalamazoo,MI
438,Michigan,Kent,MI
439,Michigan,Keweenaw,MI
440,Michigan,Lenawee,MI
441,Michigan,Macomb,MI
442,Michigan,Manistee,MI
443,Michigan,Mason,MI
444,Michigan,Missaukee,MI
445,Michigan,Monroe,MI
446,Michigan,Muskegon,MI
447,Michigan,Oakland,MI
448,Michigan,Ottawa,MI
449,Michigan,Schoolcraft,MI
450,Michigan,St. Clair,MI
451,Michigan,Tuscola,MI
452,Michigan,Washtenaw,MI
453,Michigan,Wayne,MI
454,Michigan,Wexford,MI
455,Minnesota,Anoka,MN
456,Minnesota,Becker,MN
457,Minnesota,Beltrami,MN
458,Minnesota,Carlton,MN
459,Minnesota,Cook,MN
460,Minnesota,Crow Wing,MN
461,Minnesota,Dakota,MN
462,Minnesota,Goodhue,MN
463,Minnesota,Hennepin,MN
464,Minnesota,Lake,MN
465,Minnesota,Lyon,MN
466,Minnesota,Mille Lacs,MN
467,Minnesota,Olmsted,MN
468,Minnesota,Ramsey,MN
469,Minnesota,Rock,MN
470,Minnesota,Saint Louis,MN
471,Minnesota,Scott,MN
472,Minnesota,Stearns,MN
473,Minnesota,Washington,MN
474,Minnesota,Winona,MN
475,Minnesota,Wright,MN
476,Mississippi,Bolivar,MS
477,Mississippi,DeSoto,MS
478,Mississippi,Forrest,MS
479,Mississippi,Hancock,MS
480,Mississippi,Harrison,MS
481,Mississippi,Hinds,MS
482,Mississippi,Jackson,MS
483,Mississippi,Lauderdale,MS
484,Mississippi,Lee,MS
485,Mississippi,Yalobusha,MS
486,Missouri,Andrew,MO
487,Missouri,Boone,MO
488,Missouri,Buchanan,MO
489,Missouri,Callaway,MO
490,Missouri,Cass,MO
491,Missouri,Cedar,MO
492,Missouri,Clay,MO
493,Missouri,Clinton,MO
494,Missouri,Greene,MO
495,Missouri,Iron,MO
496,Missouri,Jackson,MO
497,Missouri,Jasper,MO
498,Missouri,Jefferson,MO
499,Missouri,Lincoln,MO
500,Missouri,Monroe,MO
501,Missouri,Perry,MO
502,Missouri,Saint Charles,MO
503,Missouri,Saint Louis,MO
504,Missouri,Sainte Genevieve,MO
