,State,County,Abbreviation
720,Oklahoma,Creek,OK
721,Oklahoma,Dewey,OK
722,Oklahoma,Ellis,OK
723,Oklahoma,Jefferson,OK
724,Oklahoma,Kay,OK
725,Oklahoma,Lincoln,OK
726,Oklahoma,Love,OK
727,Oklahoma,Mayes,OK
728,Oklahoma,McClain,OK
729,Oklahoma,Muskogee,OK
730,Oklahoma,Oklahoma,OK
731,Oklahoma,Ottawa,OK
732,Oklahoma,Pittsburg,OK
733,Oklahoma,Sequoyah,OK
734,Oklahoma,Tulsa,OK
735,Oregon,Baker,OR
736,Oregon,Benton,OR
737,Oregon,Clackamas,OR
738,Oregon,Columbia,OR
739,Oregon,Crook,OR
740,Oregon,Deschutes,OR
741,Oregon,Douglas,OR
742,Oregon,Grant,OR
743,Oregon,Harney,OR
744,Oregon,Jackson,OR
745,Oregon,Jefferson,OR
746,Oregon,Josephine,OR
747,Oregon,Klamath,OR
748,Oregon,Lake,OR
749,Oregon,Lane,OR
750,Oregon,Linn,OR
751,Oregon,Marion,OR
752,Oregon,Multnomah,OR
753,Oregon,Umatilla,OR
754,Oregon,Union,OR
755,Oregon,Wallowa,OR
756,Oregon,Wasco,OR
757,Oregon,Washington,OR
758,Pennsylvania,Adams,PA
759,Pennsylvania,Allegheny,PA
760,Pennsylvania,Armstrong,PA
761,Pennsylvania,Beaver,PA
762,Pennsylvania,Berks,PA
763,Pennsylvania,Blair,PA
764,Pennsylvania,Bradford,PA
765,Pennsylvania,Bucks,PA
766,Pennsylvania,Cambria,PA
767,Pennsylvania,Centre,PA
768,Pennsylvania,Chester,PA
769,Pennsylvania,Clearfield,PA
770,Pennsylvania,Cumberland,PA
771,Pennsylvania,Dauphin,PA
772,Pennsylvania,Delaware,PA
773,Pennsylvania,Elk,PA
774,Pennsylvania,Erie,PA
775,Pennsylvania,Franklin,PA
776,Pennsylvania,Greene,PA
777,Pennsylvania,Indiana,PA
778,Pennsylvania,Lackawanna,PA
779,Pennsylvania,Lancaster,PA
780,Pennsylvania,Lawrence,PA
781,Pennsylvania,Lebanon,PA
782,Pennsylvania,Lehigh,PA
783,Pennsylvania,Luzerne,PA
784,Pennsylvania,Lycoming,PA
785,Pennsylvania,Mercer,PA
786,Pennsylvania,Monroe,PA
787,Pennsylvania,Montgomery,PA
788,Pennsylvania,Northampton,PA
789,Pennsylvania,Perry,PA
790,Pennsylvania,Philadelphia,PA
791,Pennsylvania,Somerset,PA
792,Pennsylvania,Tioga,PA
793,Pennsylvania,Warren,PA
794,Pennsylvania,Washington,PA
795,Pennsylvania,Westmoreland,PA
796,Pennsylvania,York,PA
797,Puerto Rico,Adjuntas,
798,Puerto Rico,Bayamon,
799,Puerto Rico,Catano,
800,Puerto Rico,Fajardo,
801,Puerto Rico,Guayama,
802,Puerto Rico,Guayanilla,
803,Puerto Rico,Guaynabo,
804,Puerto Rico,Humacao,
805,Puerto Rico,Juncos,
806,Puerto Rico,Mayagnez,
807,Puerto Rico,Ponce,
808,Puerto Rico,Salinas,
809,Puerto Rico,San Juan,
810,Rhode Island,Kent,RI
811,Rhode Island,Providence,RI
812,Rhode Island,Washington,RI
813,South Carolina,Abbeville,SC
814,South Carolina,Aiken,SC
815,South Carolina,Anderson,SC
816,South Carolina,Berkeley,SC
817,South Carolina,Charleston,SC
818,South Carolina,Cherokee,SC
819,South Carolina,Chesterfield,SC
820,South Carolina,Colleton,SC
821,South Carolina,Darlington,SC
822,South Carolina,Edgefield,SC
823,South Carolina,Florence,SC
824,South Carolina,Georgetown,SC
825,South Carolina,Greenville,SC
826,South Carolina,Lexington,SC
827,South Carolina,Oconee,SC
828,South Carolina,Pickens,SC
829,South Carolina,Richland,SC
830,South Carolina,Spartanburg,SC
831,South Carolina,York,SC
832,South Dakota,Brookings,
833,South Dakota,Brown,
834,South Dakota,Codington,
835,South Dakota,Custer,
836,South Dakota,Jackson,
837,South Dakota,Meade,
838,South Dakota,Minnehaha,
839,South Dakota,Pennington,
840,South Dakota,Union,
841,Tennessee,Anderson,TN
842,Tennessee,Blount,TN
843,Tennessee,Claiborne,TN
844,Tennessee,Davidson,TN
845,Tennessee,DeKalb,TN
846,Tennessee,Dyer,TN
847,Tennessee,Hamilton,TN
848,Tennessee,Jefferson,TN
849,Tennessee,Knox,TN
850,Tennessee,Lawrence,TN
851,Tennessee,Loudon,TN
852,Tennessee,Madison,TN
853,Tennessee,Maury,TN
854,Tennessee,McMinn,TN
855,Tennessee,Montgomery,TN
856,Tennessee,Putnam,TN
857,Tennessee,Roane,TN
858,Tennessee,Sevier,TN
859,Tennessee,Shelby,TN
860,Tennessee,Sullivan,TN
861,Tennessee,Sumner,TN
862,Tennessee,Union,TN
863,Tennessee,Williamson,TN
864,Tennessee,Wilson,TN
865,Texas,Bell,TX
866,Texas,Bexar,TX
867,Texas,Bowie,TX
868,Texas,Brazoria,TX
869,Texas,Brewster,TX
870,Texas,Cameron,TX
871,Texas,Collin,TX
872,Texas,Culberson,TX
873,Texas,Dallas,TX
874,Texas,Denton,TX
875,Texas,Ector,TX
876,Texas,El Paso,TX
877,Texas,Ellis,TX
878,Texas,Fayette,TX
879,Texas,Galveston,TX
880,Texas,Gregg,TX
881,Texas,Harris,TX
882,Texas,Harrison,TX
883,Texas,Hidalgo,TX
884,Texas,Hood,TX
885,Texas,Hunt,TX
886,Texas,Jefferson,TX
887,Texas,Johnson,TX
888,Texas,Kaufman,TX
889,Texas,Kleberg,TX
890,Texas,Lubbock,TX
891,Texas,Maverick,TX
892,Texas,McLennan,TX
893,Texas,Montgomery,TX
894,Texas,Navarro,TX
895,Texas,Nueces,TX
896,Texas,Orange,TX
897,Texas,Parker,TX
898,Texas,Polk,TX
899,Texas,Potter,TX
900,Texas,Randall,TX
901,Texas,Rockwall,TX
902,Texas,Smith,TX
903,Texas,Tarrant,TX
904,Texas,Travis,TX
905,Texas,Victoria,TX
906,Texas,Webb,TX
907,Texas,Wichita,TX
908,Utah,Box Elder,UT
909,Utah,Cache,UT
910,Utah,Carbon,UT
911,Utah,Daggett,UT
912,Utah,Davis,UT
913,Utah,Duchesne,UT
914,Utah,Garfield,UT
915,Utah,Salt Lake,UT
916,Utah,San Juan,UT
917,Utah,Tooele,UT
918,Utah,Uintah,UT
919,Utah,Utah,UT
920,Utah,Washington,UT
921,Utah,Wayne,UT
922,Utah,Weber,UT
923,Vermont,Bennington,VT
924,Vermont,Chittenden,VT
925,Vermont,Rutland,VT
926,Vermont,Windham,VT
927,Virgin Islands,St Croix,
928,Virgin Islands,St John,
929,Virginia,Albemarle,VA
930,Virginia,Alexandria City,VA
931,Virginia,Arlington,VA
932,Virginia,Bristol City,VA
933,Virginia,Caroline,VA
934,Virginia,Carroll,VA
935,Virginia,Charles,VA
936,Virginia,Chesterfield,VA
937,Virginia,Fairfax,VA
938,Virginia,Fauquier,VA
939,Virginia,Frederick,VA
940,Virginia,Fredericksburg City,VA
941,Virginia,Giles,VA
942,Virginia,Hampton City,VA
943,Virginia,Hanover,VA
