,State,County,Abbreviation
941,Virginia,Giles,VA
942,Virginia,Hampton City,VA
943,Virginia,Hanover,VA
944,Virginia,Henrico,VA
945,Virginia,Hopewell City,VA
946,Virginia,King William,VA
947,Virginia,Loudoun,VA
948,Virginia,Lynchburg City,VA
949,Virginia,Madison,VA
950,Virginia,Norfolk City,VA
951,Virginia,Page,VA
952,Virginia,Prince Edward,VA
953,Virginia,Prince William,VA
954,Virginia,Richmond City,VA
955,Virginia,Roanoke,VA
956,Virginia,Rockbridge,VA
957,Virginia,Rockingham,VA
958,Virginia,Salem City,VA
959,Virginia,Stafford,VA
960,Virginia,Suffolk City,VA
961,Virginia,Virginia Beach City,VA
962,Virginia,Winchester City,VA
963,Virginia,Wythe,VA
964,Washington,Adams,WA
965,Washington,Asotin,WA
966,Washington,Benton,WA
967,Washington,Chelan,WA
968,Washington,Clallam,WA
969,Washington,Clark,WA
970,Washington,Columbia,WA
971,Washington,Cowlitz,WA
972,Washington,Franklin,WA
973,Washington,Grant,WA
974,Washington,Grays Harbor,WA
975,Washington,Jefferson,WA
976,Washington,King,WA
977,Washington,Kitsap,WA
978,Washington,Kittitas,WA
979,Washington,Klickitat,WA
980,Washington,Lewis,WA
981,Washington,Mason,WA
982,Washington,Okanogan,WA
983,Washington,Pierce,WA
984,Washington,Skagit,WA
985,Washington,Snohomish,WA
986,Washington,Spokane,WA
987,Washington,Stevens,WA
988,Washington,Thurston,WA
989,Washington,Walla Walla,WA
990,Washington,Whatcom,WA
991,Washington,Whitman,WA
992,Washington,Yakima,WA
993,West Virginia,Berkeley,WV
994,West Virginia,Brooke,WV
995,West Virginia,Cabell,WV
996,West Virginia,Gilmer,WV
997,West Virginia,Greenbrier,WV
998,West Virginia,Hancock,WV
999,West Virginia,Harrison,WV
