,State,County,aqi,ghg,income,pop,plant,weather_epa,weather_meso
1053,alabama,autauga,,1.0,1.0,1.0,1.0,,
0,alabama,baldwin,1.0,1.0,1.0,1.0,,,1.0
1054,alabama,barbour,,1.0,1.0,1.0,,,
2206,alabama,bibb,,,1.0,1.0,,,
2065,alabama,blount,,1.0,1.0,1.0,,,
2207,alabama,bullock,,,1.0,1.0,,,
2208,alabama,butler,,,1.0,1.0,,,
1055,alabama,calhoun,,1.0,1.0,1.0,1.0,,
1056,alabama,chambers,,1.0,1.0,1.0,1.0,,
2118,alabama,cherokee,,1.0,1.0,1.0,1.0,,
1057,alabama,chilton,,1.0,1.0,1.0,1.0,,
1058,alabama,choctaw,,1.0,1.0,1.0,1.0,,
1059,alabama,clarke,,1.0,1.0,1.0,1.0,,
1,alabama,clay,1.0,,1.0,1.0,,,1.0
2209,alabama,cleburne,,,1.0,1.0,,,
1060,alabama,coffee,,1.0,1.0,1.0,,,
2,alabama,colbert,1.0,1.0,1.0,1.0,1.0,,1.0
2210,alabama,conecuh,,,1.0,1.0,,,
1061,alabama,coosa,,1.0,1.0,1.0,1.0,,
1062,alabama,covington,,1.0,1.0,1.0,1.0,,
2211,alabama,crenshaw,,,1.0,1.0,,,
1063,alabama,cullman,,1.0,1.0,1.0,,,
2212,alabama,dale,,,1.0,1.0,,,
1064,alabama,dallas,,1.0,1.0,1.0,1.0,,
3,alabama,dekalb,1.0,1.0,1.0,1.0,1.0,,1.0
4,alabama,elmore,1.0,1.0,1.0,1.0,1.0,,1.0
1065,alabama,escambia,,1.0,1.0,1.0,1.0,,
5,alabama,etowah,1.0,1.0,1.0,1.0,1.0,,1.0
2066,alabama,fayette,,1.0,1.0,1.0,,,
2213,alabama,franklin,,,1.0,1.0,,,
2214,alabama,geneva,,,1.0,1.0,,,
1066,alabama,greene,,1.0,1.0,1.0,1.0,,
2119,alabama,hale,,1.0,1.0,1.0,1.0,,
2215,alabama,henry,,,1.0,1.0,,,
6,alabama,houston,1.0,1.0,1.0,1.0,1.0,,1.0
1067,alabama,jackson,,1.0,1.0,1.0,,,
7,alabama,jefferson,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1068,alabama,lamar,,1.0,1.0,1.0,,,
1069,alabama,lauderdale,,1.0,1.0,1.0,1.0,,
8,alabama,lawrence,1.0,1.0,1.0,1.0,1.0,,1.0
1070,alabama,lee,,1.0,1.0,1.0,1.0,,
2216,alabama,limestone,,,1.0,1.0,1.0,,
1071,alabama,lowndes,,1.0,1.0,1.0,1.0,,
2217,alabama,macon,,,1.0,1.0,,,
9,alabama,madison,1.0,1.0,1.0,1.0,,,1.0
1072,alabama,marengo,,1.0,1.0,1.0,1.0,,
1073,alabama,marion,,1.0,1.0,1.0,,,
1074,alabama,marshall,,1.0,1.0,1.0,1.0,,
10,alabama,mobile,1.0,1.0,1.0,1.0,1.0,,1.0
1075,alabama,monroe,,1.0,1.0,1.0,1.0,,
11,alabama,montgomery,1.0,1.0,1.0,1.0,,,1.0
12,alabama,morgan,1.0,1.0,1.0,1.0,1.0,,1.0
2168,alabama,perry,,1.0,1.0,1.0,,,
2218,alabama,pickens,,,1.0,1.0,,,
1076,alabama,pike,,1.0,1.0,1.0,,,
1077,alabama,randolph,,1.0,1.0,1.0,1.0,,
13,alabama,russell,1.0,1.0,1.0,1.0,1.0,,1.0
14,alabama,shelby,1.0,1.0,1.0,1.0,1.0,,1.0
1078,alabama,stclair,,1.0,1.0,1.0,,,
15,alabama,sumter,1.0,1.0,1.0,1.0,,,1.0
16,alabama,talladega,1.0,1.0,1.0,1.0,1.0,,1.0
1079,alabama,tallapoosa,,1.0,1.0,1.0,1.0,,
17,alabama,tuscaloosa,1.0,1.0,1.0,1.0,1.0,,1.0
1080,alabama,walker,,1.0,1.0,1.0,1.0,,
1081,alabama,washington,,1.0,1.0,1.0,1.0,,
1082,alabama,wilcox,,1.0,1.0,1.0,1.0,,
2219,alabama,winston,,,1.0,1.0,,,
2220,alaska,aleutianislands,,,1.0,,,,
18,alaska,aleutianseast,1.0,1.0,1.0,1.0,1.0,,1.0
1083,alaska,aleutianswest,,1.0,1.0,1.0,1.0,,
19,alaska,anchorage,1.0,1.0,1.0,1.0,1.0,,1.0
2242,alaska,angoon,,,1.0,,,,
2243,alaska,barrownorthslope,,,1.0,,,,
2221,alaska,bethel,,,1.0,1.0,1.0,,
2222,alaska,bristolbay,,,1.0,1.0,1.0,,
2244,alaska,cordovamccarthy,,,1.0,,,,
20,alaska,denali,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2223,alaska,dillingham,,,1.0,1.0,1.0,,
21,alaska,fairbanksnorthstar,1.0,1.0,1.0,1.0,1.0,,1.0
2224,alaska,haines,,,1.0,1.0,1.0,,
2225,alaska,hoonahangoon,,,1.0,1.0,,,
22,alaska,juneau,1.0,1.0,1.0,1.0,1.0,,1.0
2245,alaska,kenaicookinlet,,,1.0,,,,
23,alaska,kenaipeninsula,1.0,1.0,1.0,1.0,1.0,,1.0
2226,alaska,ketchikangateway,,,1.0,1.0,1.0,,
2227,alaska,kodiakisland,,,1.0,1.0,1.0,,
2228,alaska,kusilvak,,,1.0,1.0,,,
2246,alaska,kuskokwim,,,1.0,,,,
2229,alaska,lakeandpeninsula,,,1.0,1.0,1.0,,
24,alaska,matanuskasusitna,1.0,1.0,1.0,1.0,1.0,,1.0
2230,alaska,nome,,,1.0,1.0,1.0,,
1084,alaska,northslope,,1.0,1.0,1.0,1.0,,
1085,alaska,northwestarctic,,1.0,1.0,1.0,1.0,,
2247,alaska,outerketchikan,,,1.0,,,,
2231,alaska,petersburg,,,1.0,1.0,,,
2248,alaska,princeofwales,,,1.0,,,,
2232,alaska,princeofwaleshyder,,,1.0,1.0,,,
3193,alaska,princeofwalesketchikan,,,,,1.0,,
2233,alaska,princeofwalesouterketchikan,,,1.0,,,,
2249,alaska,seward,,,1.0,,,,
2234,alaska,sitka,,,1.0,1.0,1.0,,
2235,alaska,skagway,,,1.0,1.0,,,
2237,alaska,skagwayhoonahangoon,,,1.0,,1.0,,
2250,alaska,skagwayyakutat,,,1.0,,,,
2236,alaska,skagwayyakutatangoon,,,1.0,,,,
2238,alaska,southeastfairbanks,,,1.0,1.0,1.0,,
2251,alaska,upperyukon,,,1.0,,,,
2252,alaska,valdezchitinawhittier,,,1.0,,,,
1086,alaska,valdezcordova,,1.0,1.0,1.0,1.0,,
3194,alaska,wadehampton,,,,,1.0,,
2239,alaska,wrangell,,,1.0,1.0,,,
2240,alaska,wrangellpetersburg,,,1.0,,1.0,,
2241,alaska,yakutat,,,1.0,1.0,1.0,,
2169,alaska,yukonkoyukuk,,1.0,1.0,1.0,1.0,,1.0
25,arizona,apache,1.0,1.0,1.0,1.0,1.0,,1.0
26,arizona,cochise,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,arizona,coconino,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,arizona,gila,1.0,1.0,1.0,1.0,1.0,,1.0
1087,arizona,graham,,1.0,1.0,1.0,,,
1088,arizona,greenlee,,1.0,1.0,1.0,,,
29,arizona,lapaz,1.0,1.0,1.0,1.0,1.0,,1.0
30,arizona,maricopa,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,arizona,mohave,1.0,1.0,1.0,1.0,1.0,,1.0
32,arizona,navajo,1.0,1.0,1.0,1.0,1.0,1.0,1.0
