County,Temperature,Altimeter,Year,Month,Day,State,State Code,County Code,AQI,Category,Defining Parameter,Site Num,Total Emissions,CO2,Methane,Nitrous Oxide,HFC,PFC,SF6,NF3,Other Fluorane,HFE,Short Lived Compounds,Other GHG,Biogenic CO2,Stationary Combustion,Income,Region,Population,pp_consumed_MMBtu,pp_net_gen_MWh,AQI_PM2.5_88101,AQI_PM2.5_88502,AQI_PM2.5,AQI_PM10,AQI_CO,AQI_NO2,AQI_Ozone,AQI_SO2
jefferson,8.33,102404.34,2016,1,1,alabama,1.0,73.0,51.0,Moderate,PM2.5,23.0,22434677.182,20974477.9,1360009.0,100190.28199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781857.188,49386.0,3.0,659747.0,10905220.0,1040717.225,48.0,41.0,48.0,8.0,1.0,4.0,25.0,1.0
jefferson,8.33,102404.34,2016,1,1,alabama,1.0,73.0,51.0,Moderate,PM2.5,23.0,22434677.182,20974477.9,1360009.0,100190.28199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781857.188,49386.0,3.0,659747.0,10905220.0,1040717.225,48.0,41.0,48.0,8.0,1.0,4.0,25.0,1.0
jefferson,8.33,102404.34,2016,1,1,alabama,1.0,73.0,51.0,Moderate,PM2.5,23.0,22434677.182,20974477.9,1360009.0,100190.28199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781857.188,49386.0,3.0,659747.0,10905220.0,1040717.225,48.0,41.0,48.0,11.0,1.0,4.0,25.0,1.0
jefferson,8.33,102404.34,2016,1,1,alabama,1.0,73.0,51.0,Moderate,PM2.5,23.0,22434677.182,20974477.9,1360009.0,100190.28199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781857.188,49386.0,3.0,659747.0,10905220.0,1040717.225,48.0,41.0,48.0,11.0,1.0,4.0,25.0,1.0
jefferson,8.33,102404.34,2016,1,1,alabama,1.0,73.0,51.0,Moderate,PM2.5,23.0,22434677.182,20974477.9,1360009.0,100190.28199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781857.188,49386.0,3.0,659747.0,10905220.0,1040717.225,48.0,41.0,48.0,8.0,1.0,4.0,25.0,1.0
jefferson,8.33,102404.34,2016,1,1,alabama,1.0,73.0,51.0,Moderate,PM2.5,23.0,22434677.182,20974477.9,1360009.0,100190.28199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781857.188,49386.0,3.0,659747.0,10905220.0,1040717.225,48.0,41.0,48.0,8.0,1.0,4.0,25.0,1.0
jefferson,8.33,102404.34,2016,1,1,alabama,1.0,73.0,51.0,Moderate,PM2.5,23.0,22434677.182,20974477.9,1360009.0,100190.28199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781857.188,49386.0,3.0,659747.0,10905220.0,1040717.225,48.0,41.0,48.0,11.0,1.0,4.0,25.0,1.0
jefferson,8.33,102404.34,2016,1,1,alabama,1.0,73.0,51.0,Moderate,PM2.5,23.0,22434677.182,20974477.9,1360009.0,100190.28199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781857.188,49386.0,3.0,659747.0,10905220.0,1040717.225,48.0,41.0,48.0,11.0,1.0,4.0,25.0,1.0
jefferson,8.33,102404.34,2016,1,1,alabama,1.0,73.0,51.0,Moderate,PM2.5,23.0,22434677.182,20974477.9,1360009.0,100190.28199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781857.188,49386.0,3.0,659747.0,10905220.0,1040717.225,37.0,41.0,41.0,8.0,1.0,4.0,25.0,1.0
jefferson,8.33,102404.34,2016,1,1,alabama,1.0,73.0,51.0,Moderate,PM2.5,23.0,22434677.182,20974477.9,1360009.0,100190.28199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781857.188,49386.0,3.0,659747.0,10905220.0,1040717.225,37.0,41.0,41.0,8.0,1.0,4.0,25.0,1.0
