County,State,Income,Year
autauga,alabama,39721.0,2016
baldwin,alabama,41286.0,2016
barbour,alabama,31788.0,2016
bibb,alabama,29264.0,2016
blount,alabama,31470.0,2016
bullock,alabama,26661.0,2016
butler,alabama,33694.0,2016
calhoun,alabama,34401.0,2016
chambers,alabama,31925.0,2016
cherokee,alabama,33057.0,2016
chilton,alabama,32041.0,2016
choctaw,alabama,31926.0,2016
clarke,alabama,33096.0,2016
clay,alabama,33452.0,2016
cleburne,alabama,31917.0,2016
coffee,alabama,39923.0,2016
colbert,alabama,36422.0,2016
conecuh,alabama,30349.0,2016
coosa,alabama,29276.0,2016
covington,alabama,32340.0,2016
crenshaw,alabama,33684.0,2016
cullman,alabama,36315.0,2016
dale,alabama,34673.0,2016
dallas,alabama,33578.0,2016
dekalb,alabama,29610.0,2016
elmore,alabama,39226.0,2016
escambia,alabama,31174.0,2016
etowah,alabama,34932.0,2016
fayette,alabama,31296.0,2016
franklin,alabama,32203.0,2016
geneva,alabama,32418.0,2016
greene,alabama,32245.0,2016
hale,alabama,35388.0,2016
henry,alabama,36952.0,2016
houston,alabama,39321.0,2016
jackson,alabama,34151.0,2016
jefferson,alabama,49386.0,2016
lamar,alabama,30954.0,2016
lauderdale,alabama,35485.0,2016
lawrence,alabama,31245.0,2016
lee,alabama,34372.0,2016
limestone,alabama,37913.0,2016
lowndes,alabama,37049.0,2016
macon,alabama,31579.0,2016
madison,alabama,47095.0,2016
marengo,alabama,36551.0,2016
marion,alabama,29273.0,2016
marshall,alabama,33640.0,2016
mobile,alabama,35951.0,2016
monroe,alabama,32219.0,2016
montgomery,alabama,41404.0,2016
morgan,alabama,36746.0,2016
perry,alabama,30099.0,2016
pickens,alabama,29966.0,2016
pike,alabama,35287.0,2016
randolph,alabama,32160.0,2016
russell,alabama,30214.0,2016
st. clair,alabama,34676.0,2016
shelby,alabama,50421.0,2016
sumter,alabama,30845.0,2016
talladega,alabama,32172.0,2016
tallapoosa,alabama,37320.0,2016
tuscaloosa,alabama,35909.0,2016
walker,alabama,37191.0,2016
washington,alabama,33889.0,2016
wilcox,alabama,28553.0,2016
winston,alabama,33215.0,2016
aleutian islands census area,alaska,,2016
aleutians east borough,alaska,60284.0,2016
aleutians west census area,alaska,56105.0,2016
anchorage municipality,alaska,62317.0,2016
bethel census area,alaska,40826.0,2016
bristol bay borough,alaska,64069.0,2016
denali borough,alaska,69535.0,2016
dillingham census area,alaska,53923.0,2016
fairbanks north star borough,alaska,53647.0,2016
haines borough,alaska,50667.0,2016
hoonah-angoon census area,alaska,55511.0,2016
juneau city and borough,alaska,63070.0,2016
kenai peninsula borough,alaska,50691.0,2016
ketchikan gateway borough,alaska,63222.0,2016
kodiak island borough,alaska,58843.0,2016
kusilvak census area,alaska,31301.0,2016
lake and peninsula borough,alaska,54491.0,2016
matanuska-susitna borough,alaska,44880.0,2016
nome census area,alaska,50254.0,2016
north slope borough,alaska,37332.0,2016
northwest arctic borough,alaska,48039.0,2016
petersburg census area,alaska,62773.0,2016
prince of wales-hyder census area,alaska,40750.0,2016
prince of wales-outer ketchikan census area,alaska,,2016
sitka city and borough,alaska,62537.0,2016
skagway municipality,alaska,77977.0,2016
skagway-yakutat-angoon census area,alaska,,2016
skagway-hoonah-angoon census area,alaska,,2016
southeast fairbanks census area,alaska,43473.0,2016
valdez-cordova census area,alaska,61337.0,2016
wrangell city and borough,alaska,47105.0,2016
wrangell-petersburg census area,alaska,,2016
yakutat city and borough,alaska,54161.0,2016
yukon-koyukuk census area,alaska,54850.0,2016
aleutian islands division,alaska,,2016
angoon division,alaska,,2016
barrow-north slope division,alaska,,2016
bethel division,alaska,,2016
bristol bay division,alaska,,2016
cordova-mccarthy division,alaska,,2016
haines division,alaska,,2016
kenai-cook inlet division,alaska,,2016
kuskokwim division,alaska,,2016
outer ketchikan division,alaska,,2016
prince of wales division,alaska,,2016
seward division,alaska,,2016
sitka division,alaska,,2016
skagway-yakutat division,alaska,,2016
southeast fairbanks division,alaska,,2016
upper yukon division,alaska,,2016
valdez-chitina-whittier division,alaska,,2016
wrangell-petersburg division,alaska,,2016
yukon-koyukuk division,alaska,,2016
apache,arizona,29737.0,2016
cochise,arizona,38962.0,2016
coconino,arizona,42057.0,2016
gila,arizona,36294.0,2016
graham,arizona,29689.0,2016
greenlee,arizona,36936.0,2016
la paz,arizona,31781.0,2016
maricopa,arizona,43628.0,2016
mohave,arizona,30045.0,2016
navajo,arizona,29408.0,2016
pima,arizona,39541.0,2016
pinal,arizona,27930.0,2016
santa cruz,arizona,35052.0,2016
yavapai,arizona,36353.0,2016
yuma,arizona,33365.0,2016
arkansas,arkansas,43192.0,2016
ashley,arkansas,33361.0,2016
baxter,arkansas,34537.0,2016
benton,arkansas,76554.0,2016
boone,arkansas,33026.0,2016
bradley,arkansas,32521.0,2016
calhoun,arkansas,31737.0,2016
carroll,arkansas,31339.0,2016
chicot,arkansas,33652.0,2016
clark,arkansas,32165.0,2016
clay,arkansas,34214.0,2016
cleburne,arkansas,34327.0,2016
cleveland,arkansas,35555.0,2016
columbia,arkansas,33634.0,2016
conway,arkansas,35815.0,2016
craighead,arkansas,35378.0,2016
crawford,arkansas,30558.0,2016
crittenden,arkansas,34830.0,2016
cross,arkansas,36379.0,2016
dallas,arkansas,31779.0,2016
desha,arkansas,39436.0,2016
drew,arkansas,35643.0,2016
faulkner,arkansas,35159.0,2016
franklin,arkansas,29923.0,2016
fulton,arkansas,26359.0,2016
garland,arkansas,38579.0,2016
grant,arkansas,35588.0,2016
greene,arkansas,32755.0,2016
hempstead,arkansas,29930.0,2016
hot spring,arkansas,29937.0,2016
howard,arkansas,31346.0,2016
independence,arkansas,33964.0,2016
izard,arkansas,29557.0,2016
jackson,arkansas,33433.0,2016
jefferson,arkansas,33224.0,2016
johnson,arkansas,26592.0,2016
lafayette,arkansas,33009.0,2016
lawrence,arkansas,32104.0,2016
lee,arkansas,27395.0,2016
lincoln,arkansas,25132.0,2016
little river,arkansas,33145.0,2016
logan,arkansas,33299.0,2016
lonoke,arkansas,36742.0,2016
madison,arkansas,31416.0,2016
marion,arkansas,29903.0,2016
miller,arkansas,32138.0,2016
mississippi,arkansas,32145.0,2016
monroe,arkansas,36461.0,2016
montgomery,arkansas,28051.0,2016
nevada,arkansas,33393.0,2016
newton,arkansas,26897.0,2016
ouachita,arkansas,34382.0,2016
perry,arkansas,32773.0,2016
phillips,arkansas,31486.0,2016
pike,arkansas,30388.0,2016
poinsett,arkansas,30326.0,2016
polk,arkansas,28672.0,2016
pope,arkansas,33331.0,2016
prairie,arkansas,33415.0,2016
pulaski,arkansas,47834.0,2016
randolph,arkansas,31265.0,2016
st. francis,arkansas,26627.0,2016
saline,arkansas,38282.0,2016
scott,arkansas,29343.0,2016
searcy,arkansas,27937.0,2016
sebastian,arkansas,39346.0,2016
sevier,arkansas,26792.0,2016
sharp,arkansas,31357.0,2016
stone,arkansas,28013.0,2016
union,arkansas,44731.0,2016
van buren,arkansas,29876.0,2016
washington,arkansas,36776.0,2016
white,arkansas,32966.0,2016
woodruff,arkansas,35951.0,2016
yell,arkansas,30471.0,2016
alameda,california,65884.0,2016
alpine,california,80810.0,2016
amador,california,42787.0,2016
butte,california,41725.0,2016
calaveras,california,48559.0,2016
colusa,california,47020.0,2016
contra costa,california,70840.0,2016
del norte,california,34199.0,2016
el dorado,california,61206.0,2016
fresno,california,40101.0,2016
glenn,california,41820.0,2016
humboldt,california,43573.0,2016
imperial,california,34122.0,2016
inyo,california,55171.0,2016
kern,california,37714.0,2016
kings,california,34287.0,2016
lake,california,39930.0,2016
lassen,california,37446.0,2016
los angeles,california,55624.0,2016
madera,california,37529.0,2016
marin,california,115952.0,2016
mariposa,california,49482.0,2016
mendocino,california,45436.0,2016
merced,california,36804.0,2016
modoc,california,43354.0,2016
mono,california,48166.0,2016
monterey,california,52448.0,2016
napa,california,65805.0,2016
nevada,california,56194.0,2016
orange,california,62071.0,2016
placer,california,60360.0,2016
plumas,california,48976.0,2016
riverside,california,36782.0,2016
sacramento,california,48122.0,2016
san benito,california,46392.0,2016
san bernardino,california,36835.0,2016
san diego,california,55168.0,2016
san francisco,california,110418.0,2016
san joaquin,california,40458.0,2016
san luis obispo,california,51442.0,2016
san mateo,california,105721.0,2016
santa barbara,california,56048.0,2016
santa clara,california,88920.0,2016
santa cruz,california,59455.0,2016
shasta,california,42411.0,2016
sierra,california,40537.0,2016
siskiyou,california,41514.0,2016
solano,california,46151.0,2016
sonoma,california,56567.0,2016
stanislaus,california,41299.0,2016
sutter,california,41520.0,2016
tehama,california,37592.0,2016
trinity,california,38152.0,2016
tulare,california,37717.0,2016
tuolumne,california,43428.0,2016
ventura,california,55779.0,2016
yolo,california,49854.0,2016
yuba,california,39214.0,2016
adams,colorado,38378.0,2016
alamosa,colorado,35144.0,2016
arapahoe,colorado,54452.0,2016
archuleta,colorado,40147.0,2016
baca,colorado,37935.0,2016
bent,colorado,30411.0,2016
boulder,colorado,63707.0,2016
broomfield,colorado,73129.0,2016
chaffee,colorado,39850.0,2016
cheyenne,colorado,50622.0,2016
clear creek,colorado,54374.0,2016
conejos,colorado,35429.0,2016
costilla,colorado,32313.0,2016
crowley,colorado,25522.0,2016
custer,colorado,42468.0,2016
delta,colorado,32318.0,2016
denver,colorado,67256.0,2016
dolores,colorado,30593.0,2016
douglas,colorado,67139.0,2016
eagle,colorado,64581.0,2016
elbert,colorado,50865.0,2016
el paso,colorado,44409.0,2016
fremont,colorado,32016.0,2016
garfield,colorado,55227.0,2016
gilpin,colorado,41501.0,2016
grand,colorado,41666.0,2016
gunnison,colorado,43473.0,2016
hinsdale,colorado,44660.0,2016
huerfano,colorado,37502.0,2016
jackson,colorado,45658.0,2016
jefferson,colorado,56363.0,2016
kiowa,colorado,51194.0,2016
kit carson,colorado,33278.0,2016
lake,colorado,33575.0,2016
la plata,colorado,51117.0,2016
larimer,colorado,47117.0,2016
las animas,colorado,37032.0,2016
lincoln,colorado,31348.0,2016
logan,colorado,46730.0,2016
mesa,colorado,39118.0,2016
mineral,colorado,62466.0,2016
moffat,colorado,39244.0,2016
montezuma,colorado,37481.0,2016
montrose,colorado,35714.0,2016
morgan,colorado,40280.0,2016
otero,colorado,34271.0,2016
ouray,colorado,51000.0,2016
park,colorado,40343.0,2016
phillips,colorado,42762.0,2016
pitkin,colorado,128738.0,2016
prowers,colorado,38812.0,2016
pueblo,colorado,36148.0,2016
rio blanco,colorado,39483.0,2016
rio grande,colorado,41807.0,2016
routt,colorado,71167.0,2016
saguache,colorado,34942.0,2016
san juan,colorado,49144.0,2016
san miguel,colorado,75876.0,2016
sedgwick,colorado,47266.0,2016
summit,colorado,58386.0,2016
teller,colorado,45849.0,2016
washington,colorado,38098.0,2016
weld,colorado,42701.0,2016
yuma,colorado,52835.0,2016
fairfield,connecticut,106666.0,2016
hartford,connecticut,59869.0,2016
litchfield,connecticut,59568.0,2016
middlesex,connecticut,62833.0,2016
new haven,connecticut,52603.0,2016
new london,connecticut,53885.0,2016
tolland,connecticut,52466.0,2016
windham,connecticut,43636.0,2016
kent,delaware,38498.0,2016
