air_temp_set_1,altimeter_set_1,wind_speed_set_1,relative_humidity_set_1,precip_accum_24_hour_set_1,Date,State,County
3.89,102167.3,0.0,73.0,1.016,2016-01-01,WV,Kanawha
1.11,101930.25,0.0,68.0,0.0,2016-01-02,WV,Kanawha
2.78,101523.88,0.0,59.0,0.0,2016-01-03,WV,Kanawha
1.3900000000000001,101659.33499999999,0.675,73.5,1.143,2016-01-04,WV,Kanawha
-1.11,102539.8,0.0,61.0,0.0,2016-01-05,WV,Kanawha
-2.78,102980.03,0.0,54.0,0.0,2016-01-06,WV,Kanawha
0.0,102268.89,0.9,55.0,0.0,2016-01-07,WV,Kanawha
3.33,101523.88,0.0,69.0,0.0,2016-01-08,WV,Kanawha
6.945,101269.905,0.0,98.0,3.937,2016-01-09,WV,Kanawha
11.11,100440.24,0.0,73.0,0.0,2016-01-10,WV,Kanawha
-2.22,101252.97,2.23,71.0,1.524,2016-01-11,WV,Kanawha
-1.67,101523.88,0.0,52.0,0.0,2016-01-12,WV,Kanawha
-2.22,101456.15,2.68,46.0,0.254,2016-01-13,WV,Kanawha
-2.78,101523.88,0.0,55.0,0.0,2016-01-14,WV,Kanawha
8.89,100914.33,0.0,55.0,0.0,2016-01-15,WV,Kanawha
5.0,99661.37,0.0,98.0,3.302,2016-01-16,WV,Kanawha
1.11,101049.79,0.0,92.0,0.508,2016-01-17,WV,Kanawha
-1.67,100948.2,0.0,90.0,0.254,2016-01-18,WV,Kanawha
-10.0,102167.3,0.0,57.0,0.0,2016-01-19,WV,Kanawha
-10.0,102912.3,0.0,65.0,0.0,2016-01-20,WV,Kanawha
-5.56,101828.66,0.0,89.0,0.0,2016-01-21,WV,Kanawha
-5.56,102268.89,0.0,75.0,1.27,2016-01-22,WV,Kanawha
-4.44,100677.29,0.0,95.0,0.0,2016-01-23,WV,Kanawha
-2.78,101320.7,0.0,85.0,0.0,2016-01-24,WV,Kanawha
-2.78,101693.2,0.0,76.0,9.652,2016-01-25,WV,Kanawha
3.33,101388.43,0.0,72.0,6.096,2016-01-26,WV,Kanawha
3.89,101591.61,0.9,96.0,2.032,2016-01-27,WV,Kanawha
-1.11,101727.07,0.0,72.0,0.254,2016-01-28,WV,Kanawha
6.67,100203.19,0.0,43.0,0.0,2016-01-29,WV,Kanawha
-1.67,101456.155,0.0,74.0,0.254,2016-01-30,WV,Kanawha
6.67,100846.6,0.0,59.0,0.0,2016-01-31,WV,Kanawha
13.33,100440.24,0.0,57.0,0.0,2016-02-01,WV,Kanawha
7.22,101354.56,0.0,91.0,9.144,2016-02-02,WV,Kanawha
14.44,100948.2,0.9,66.0,0.254,2016-02-03,WV,Kanawha
15.56,100677.29,0.0,59.0,9.398,2016-02-04,WV,Kanawha
3.33,101964.11,0.0,60.0,0.0,2016-02-05,WV,Kanawha
0.56,102573.66,0.0,60.0,0.0,2016-02-06,WV,Kanawha
5.56,102065.7,0.45,49.0,0.0,2016-02-07,WV,Kanawha
6.11,100880.47,0.45,52.0,0.0,2016-02-08,WV,Kanawha
1.67,100101.6,0.0,91.0,1.778,2016-02-09,WV,Kanawha
-4.44,100711.15,0.0,84.0,0.0,2016-02-10,WV,Kanawha
-6.11,101422.29,0.0,58.0,0.0,2016-02-11,WV,Kanawha
-5.0,102302.75,0.0,48.0,0.254,2016-02-12,WV,Kanawha
-1.11,101456.15,0.0,50.0,0.0,2016-02-13,WV,Kanawha
,,,,,2016-02-14,WV,Kanawha
-4.44,102065.7,0.45,78.0,0.0,2016-02-15,WV,Kanawha
-1.39,101574.675,0.0,94.0,4.953,2016-02-16,WV,Kanawha
2.22,100812.74,0.0,84.0,42.926,2016-02-17,WV,Kanawha
1.67,102235.02,0.0,83.0,0.254,2016-02-18,WV,Kanawha
3.33,102776.85,0.0,57.0,0.0,2016-02-19,WV,Kanawha
