Region,Division,StateNum,CountyNum,State,County,Population,Year
3,6,1,1,alabama,autauga,55278,2016
3,6,1,3,alabama,baldwin,207509,2016
3,6,1,5,alabama,barbour,25774,2016
3,6,1,7,alabama,bibb,22633,2016
3,6,1,9,alabama,blount,57562,2016
3,6,1,11,alabama,bullock,10441,2016
3,6,1,13,alabama,butler,19965,2016
3,6,1,15,alabama,calhoun,114980,2016
3,6,1,17,alabama,chambers,33717,2016
3,6,1,19,alabama,cherokee,25766,2016
3,6,1,21,alabama,chilton,43830,2016
3,6,1,23,alabama,choctaw,13050,2016
3,6,1,25,alabama,clarke,24350,2016
3,6,1,27,alabama,clay,13410,2016
3,6,1,29,alabama,cleburne,14873,2016
3,6,1,31,alabama,coffee,51217,2016
3,6,1,33,alabama,colbert,54327,2016
3,6,1,35,alabama,conecuh,12515,2016
3,6,1,37,alabama,coosa,10809,2016
3,6,1,39,alabama,covington,37386,2016
3,6,1,41,alabama,crenshaw,13907,2016
3,6,1,43,alabama,cullman,82322,2016
3,6,1,45,alabama,dale,49228,2016
3,6,1,47,alabama,dallas,40081,2016
3,6,1,49,alabama,dekalb,71216,2016
3,6,1,51,alabama,elmore,81240,2016
3,6,1,53,alabama,escambia,37476,2016
3,6,1,55,alabama,etowah,102726,2016
3,6,1,57,alabama,fayette,16538,2016
3,6,1,59,alabama,franklin,31577,2016
3,6,1,61,alabama,geneva,26516,2016
3,6,1,63,alabama,greene,8488,2016
3,6,1,65,alabama,hale,14847,2016
3,6,1,67,alabama,henry,17092,2016
3,6,1,69,alabama,houston,104173,2016
3,6,1,71,alabama,jackson,52049,2016
3,6,1,73,alabama,jefferson,659747,2016
3,6,1,75,alabama,lamar,13949,2016
3,6,1,77,alabama,lauderdale,92319,2016
3,6,1,79,alabama,lawrence,33232,2016
3,6,1,81,alabama,lee,158983,2016
3,6,1,83,alabama,limestone,92920,2016
3,6,1,85,alabama,lowndes,10241,2016
3,6,1,87,alabama,macon,19072,2016
3,6,1,89,alabama,madison,356312,2016
3,6,1,91,alabama,marengo,19505,2016
3,6,1,93,alabama,marion,29922,2016
3,6,1,95,alabama,marshall,95043,2016
3,6,1,97,alabama,mobile,414852,2016
3,6,1,99,alabama,monroe,21572,2016
3,6,1,101,alabama,montgomery,226716,2016
3,6,1,103,alabama,morgan,118819,2016
3,6,1,105,alabama,perry,9570,2016
3,6,1,107,alabama,pickens,20315,2016
