Year,Month,State,County,pp_consumed_MMBtu,pp_net_gen_MWh
2016,1,alabama,,0.0,0.0
2016,2,alabama,,0.0,0.0
2016,3,alabama,,0.0,0.0
2016,4,alabama,,0.0,0.0
2016,5,alabama,,0.0,0.0
2016,6,alabama,,0.0,0.0
2016,7,alabama,,0.0,0.0
2016,8,alabama,,0.0,0.0
2016,9,alabama,,0.0,0.0
2016,10,alabama,,0.0,0.0
2016,11,alabama,,0.0,0.0
2016,12,alabama,,0.0,0.0
2016,1,alabama,autauga,8991249.0,1034700.639
2016,2,alabama,autauga,7658887.0,865051.415
2016,3,alabama,autauga,7624458.0,862776.604
2016,4,alabama,autauga,8551255.0,989096.688
2016,5,alabama,autauga,11043156.0,1356789.528
2016,6,alabama,autauga,11688592.0,1444851.43
2016,7,alabama,autauga,13160830.0,1658080.739
2016,8,alabama,autauga,14613118.0,1862511.537
2016,9,alabama,autauga,12639960.0,1601882.386
2016,10,alabama,autauga,10636849.0,1392676.8059999999
2016,11,alabama,autauga,8777211.0,1075666.978
2016,12,alabama,autauga,6979428.0,812763.25
2016,1,alabama,calhoun,398042.0,41125.014
2016,2,alabama,calhoun,306509.0,33200.662
2016,3,alabama,calhoun,283865.0,29575.3
2016,4,alabama,calhoun,208956.0,21145.966
2016,5,alabama,calhoun,64454.0,6706.205
2016,6,alabama,calhoun,359303.0,34224.462
2016,7,alabama,calhoun,544216.0,51237.923
2016,8,alabama,calhoun,554905.0,53428.161
2016,9,alabama,calhoun,571708.0,53718.945999999996
2016,10,alabama,calhoun,107460.0,10516.309000000001
2016,11,alabama,calhoun,45174.0,4893.215
2016,12,alabama,calhoun,95542.0,10207.837
2016,1,alabama,chambers,0.0,0.0
2016,2,alabama,chambers,0.0,0.0
2016,3,alabama,chambers,0.0,0.0
2016,4,alabama,chambers,0.0,0.0
2016,5,alabama,chambers,0.0,0.0
2016,6,alabama,chambers,0.0,0.0
2016,7,alabama,chambers,0.0,0.0
2016,8,alabama,chambers,0.0,0.0
2016,9,alabama,chambers,0.0,0.0
2016,10,alabama,chambers,0.0,0.0
2016,11,alabama,chambers,0.0,0.0
2016,12,alabama,chambers,0.0,0.0
2016,1,alabama,cherokee,359426.0,38932.592
2016,2,alabama,cherokee,324792.0,35181.06
2016,3,alabama,cherokee,225484.0,24424.176
2016,4,alabama,cherokee,113459.0,12289.777
2016,5,alabama,cherokee,53494.0,5794.38
2016,6,alabama,cherokee,53330.0,5776.638
2016,7,alabama,cherokee,54039.0,5853.421
2016,8,alabama,cherokee,81139.0,8788.902
2016,9,alabama,cherokee,53912.0,5839.67
2016,10,alabama,cherokee,50491.0,5469.178
2016,11,alabama,cherokee,47869.0,5185.092
2016,12,alabama,cherokee,97463.0,10557.114
2016,1,alabama,chilton,892753.0,96702.0
2016,2,alabama,chilton,813875.0,88158.0
2016,3,alabama,chilton,692769.0,75040.0
2016,4,alabama,chilton,388021.0,42030.0
2016,5,alabama,chilton,217395.0,23548.0
2016,6,alabama,chilton,138545.0,15007.0
2016,7,alabama,chilton,92403.0,10009.0
2016,8,alabama,chilton,111846.0,12115.0
2016,9,alabama,chilton,91766.0,9940.0
2016,10,alabama,chilton,83097.0,9001.0
2016,11,alabama,chilton,75342.0,8161.0
2016,12,alabama,chilton,137668.0,14912.0
2016,1,alabama,choctaw,1505974.0,23009.0
2016,2,alabama,choctaw,1446539.0,23251.999999999996
2016,3,alabama,choctaw,1539060.0,24323.0
2016,4,alabama,choctaw,1405666.0,19343.0
2016,5,alabama,choctaw,1370156.0,20124.999999999996
2016,6,alabama,choctaw,1338244.0,15390.0
2016,7,alabama,choctaw,1438914.0,16432.0
2016,8,alabama,choctaw,1406976.0,17631.0
2016,9,alabama,choctaw,1082915.0,13105.0
2016,10,alabama,choctaw,1242238.0,8416.0
2016,11,alabama,choctaw,1470133.0,19178.0
2016,12,alabama,choctaw,1571736.0,19171.999999999996
2016,1,alabama,clarke,851595.0,11664.764
2016,2,alabama,clarke,771952.0,10665.092
2016,3,alabama,clarke,827070.0,11415.086
2016,4,alabama,clarke,759517.0,10498.0
2016,5,alabama,clarke,768674.0,9977.517
2016,6,alabama,clarke,720397.0,9608.761999999999
2016,7,alabama,clarke,710249.0,9720.157
2016,8,alabama,clarke,743311.0,9771.053
2016,9,alabama,clarke,717003.0,9620.285
2016,10,alabama,clarke,748894.0,9720.157
2016,11,alabama,clarke,764692.0,10445.183
2016,12,alabama,clarke,811485.0,11205.741
2016,1,alabama,colbert,3549710.0,299995.005
2016,2,alabama,colbert,3358730.0,285384.004
2016,3,alabama,colbert,1699621.0,158414.001
2016,4,alabama,colbert,8140.0,298.0
2016,5,alabama,colbert,336.0,62.0
2016,6,alabama,colbert,320.0,-91.0
2016,7,alabama,colbert,4877.0,275.0
2016,8,alabama,colbert,4170.0,192.0
2016,9,alabama,colbert,87.0,-113.0
2016,10,alabama,colbert,3360.0,144.0
2016,11,alabama,colbert,4378.0,88.0
2016,12,alabama,colbert,0.0,-315.0
2016,1,alabama,coosa,866756.0,93886.0
2016,2,alabama,coosa,776550.0,84115.0
2016,3,alabama,coosa,628607.0,68090.0
2016,4,alabama,coosa,368394.0,39904.0
2016,5,alabama,coosa,191933.0,20790.0
2016,6,alabama,coosa,116009.0,12566.0
2016,7,alabama,coosa,79968.0,8662.0
2016,8,alabama,coosa,93742.0,10154.0
2016,9,alabama,coosa,74179.0,8035.0
2016,10,alabama,coosa,65446.0,7089.0
2016,11,alabama,coosa,62251.0,6743.0
2016,12,alabama,coosa,115723.0,12535.0
2016,1,alabama,covington,2963637.0,393660.12
2016,2,alabama,covington,2488391.0,330824.734
2016,3,alabama,covington,2508086.0,338605.733
2016,4,alabama,covington,2438948.0,328392.255
2016,5,alabama,covington,1768387.0,226747.26799999998
2016,6,alabama,covington,2838035.0,372360.123
2016,7,alabama,covington,2915837.0,381640.403
2016,8,alabama,covington,2910679.0,382433.165
2016,9,alabama,covington,2694525.0,359581.741
2016,10,alabama,covington,1834373.0,243740.967
2016,11,alabama,covington,1339454.0,165693.633
2016,12,alabama,covington,2323462.0,312756.858
2016,1,alabama,dallas,2754448.0,92563.99999999999
2016,2,alabama,dallas,2482156.0,96435.99999999999
2016,3,alabama,dallas,2586480.0,102841.83399999997
2016,4,alabama,dallas,2551634.0,80185.99999999997
2016,5,alabama,dallas,2584088.0,93025.99999999997
2016,6,alabama,dallas,2598894.0,96547.99999999999
2016,7,alabama,dallas,2563378.0,99472.00000000003
2016,8,alabama,dallas,2628086.0,99428.0
2016,9,alabama,dallas,2610272.0,99128.0
2016,10,alabama,dallas,2736782.0,97994.77600000003
2016,11,alabama,dallas,2610050.0,93608.0
2016,12,alabama,dallas,2596430.0,102706.0
2016,1,alabama,dekalb,27064.0,2073.492
2016,2,alabama,dekalb,31977.0,2449.885
2016,3,alabama,dekalb,21614.0,1655.912
2016,4,alabama,dekalb,14860.0,1138.451
2016,5,alabama,dekalb,27563.0,2111.703
2016,6,alabama,dekalb,39025.0,2989.826
2016,7,alabama,dekalb,31317.0,2399.255
2016,8,alabama,dekalb,30745.0,2355.423
2016,9,alabama,dekalb,36655.0,2808.265
2016,10,alabama,dekalb,32059.0,2456.106
2016,11,alabama,dekalb,27750.0,2126.032
2016,12,alabama,dekalb,33619.0,2575.65
2016,1,alabama,elmore,3424735.0,370963.44800000003
2016,2,alabama,elmore,2906961.0,314878.803
2016,3,alabama,elmore,2189138.0,237124.898
2016,4,alabama,elmore,1229077.0,133132.144
2016,5,alabama,elmore,429589.0,46532.699
2016,6,alabama,elmore,293885.0,31833.281
2016,7,alabama,elmore,320118.0,34674.738
2016,8,alabama,elmore,405085.0,43878.456000000006
