air_temp_set_1,altimeter_set_1,precip_accum_24_hour_set_1,relative_humidity_set_1,wind_speed_set_1,Date,State,County
,,,,,2016-01-01,IL,Jo%Daviess
,,,,,2016-01-02,IL,Jo%Daviess
,,,,,2016-01-03,IL,Jo%Daviess
,,,,,2016-01-04,IL,Jo%Daviess
,,,,,2016-01-05,IL,Jo%Daviess
,,,,,2016-01-06,IL,Jo%Daviess
,,,,,2016-01-07,IL,Jo%Daviess
,,,,,2016-01-08,IL,Jo%Daviess
,,,,,2016-01-09,IL,Jo%Daviess
,,,,,2016-01-10,IL,Jo%Daviess
,,,,,2016-01-11,IL,Jo%Daviess
,,,,,2016-01-12,IL,Jo%Daviess
,,,,,2016-01-13,IL,Jo%Daviess
,,,,,2016-01-14,IL,Jo%Daviess
,,,,,2016-01-15,IL,Jo%Daviess
,,,,,2016-01-16,IL,Jo%Daviess
,,,,,2016-01-17,IL,Jo%Daviess
,,,,,2016-01-18,IL,Jo%Daviess
,,,,,2016-01-19,IL,Jo%Daviess
,,,,,2016-01-20,IL,Jo%Daviess
,,,,,2016-01-21,IL,Jo%Daviess
,,,,,2016-01-22,IL,Jo%Daviess
,,,,,2016-01-23,IL,Jo%Daviess
,,,,,2016-01-24,IL,Jo%Daviess
,,,,,2016-01-25,IL,Jo%Daviess
,,,,,2016-01-26,IL,Jo%Daviess
,,,,,2016-01-27,IL,Jo%Daviess
,,,,,2016-01-28,IL,Jo%Daviess
,,,,,2016-01-29,IL,Jo%Daviess
,,,,,2016-01-30,IL,Jo%Daviess
,,,,,2016-01-31,IL,Jo%Daviess
,,,,,2016-02-01,IL,Jo%Daviess
,,,,,2016-02-02,IL,Jo%Daviess
,,,,,2016-02-03,IL,Jo%Daviess
,,,,,2016-02-04,IL,Jo%Daviess
,,,,,2016-02-05,IL,Jo%Daviess
,,,,,2016-02-06,IL,Jo%Daviess
,,,,,2016-02-07,IL,Jo%Daviess
,,,,,2016-02-08,IL,Jo%Daviess
,,,,,2016-02-09,IL,Jo%Daviess
,,,,,2016-02-10,IL,Jo%Daviess
,,,,,2016-02-11,IL,Jo%Daviess
,,,,,2016-02-12,IL,Jo%Daviess
,,,,,2016-02-13,IL,Jo%Daviess
,,,,,2016-02-14,IL,Jo%Daviess
,,,,,2016-02-15,IL,Jo%Daviess
,,,,,2016-02-16,IL,Jo%Daviess
,,,,,2016-02-17,IL,Jo%Daviess
,,,,,2016-02-18,IL,Jo%Daviess
,,,,,2016-02-19,IL,Jo%Daviess
,,,,,2016-02-20,IL,Jo%Daviess
,,,,,2016-02-21,IL,Jo%Daviess
,,,,,2016-02-22,IL,Jo%Daviess
,,,,,2016-02-23,IL,Jo%Daviess
,,,,,2016-02-24,IL,Jo%Daviess
,,,,,2016-02-25,IL,Jo%Daviess
,,,,,2016-02-26,IL,Jo%Daviess
,,,,,2016-02-27,IL,Jo%Daviess
,,,,,2016-02-28,IL,Jo%Daviess
,,,,,2016-02-29,IL,Jo%Daviess
,,,,,2016-03-01,IL,Jo%Daviess
,,,,,2016-03-02,IL,Jo%Daviess
,,,,,2016-03-03,IL,Jo%Daviess
,,,,,2016-03-04,IL,Jo%Daviess
,,,,,2016-03-05,IL,Jo%Daviess
,,,,,2016-03-06,IL,Jo%Daviess
,,,,,2016-03-07,IL,Jo%Daviess
,,,,,2016-03-08,IL,Jo%Daviess
,,,,,2016-03-09,IL,Jo%Daviess
,,,,,2016-03-10,IL,Jo%Daviess
,,,,,2016-03-11,IL,Jo%Daviess
,,,,,2016-03-12,IL,Jo%Daviess
,,,,,2016-03-13,IL,Jo%Daviess
,,,,,2016-03-14,IL,Jo%Daviess
,,,,,2016-03-15,IL,Jo%Daviess
,,,,,2016-03-16,IL,Jo%Daviess
,,,,,2016-03-17,IL,Jo%Daviess
,,,,,2016-03-18,IL,Jo%Daviess
,,,,,2016-03-19,IL,Jo%Daviess
,,,,,2016-03-20,IL,Jo%Daviess
,,,,,2016-03-21,IL,Jo%Daviess
,,,,,2016-03-22,IL,Jo%Daviess
,,,,,2016-03-23,IL,Jo%Daviess
,,,,,2016-03-24,IL,Jo%Daviess
,,,,,2016-03-25,IL,Jo%Daviess
,,,,,2016-03-26,IL,Jo%Daviess
,,,,,2016-03-27,IL,Jo%Daviess
,,,,,2016-03-28,IL,Jo%Daviess
,,,,,2016-03-29,IL,Jo%Daviess
,,,,,2016-03-30,IL,Jo%Daviess
,,,,,2016-03-31,IL,Jo%Daviess
,,,,,2016-04-01,IL,Jo%Daviess
,,,,,2016-04-02,IL,Jo%Daviess
,,,,,2016-04-03,IL,Jo%Daviess
,,,,,2016-04-04,IL,Jo%Daviess
,,,,,2016-04-05,IL,Jo%Daviess
,,,,,2016-04-06,IL,Jo%Daviess
,,,,,2016-04-07,IL,Jo%Daviess
,,,,,2016-04-08,IL,Jo%Daviess
,,,,,2016-04-09,IL,Jo%Daviess
,,,,,2016-04-10,IL,Jo%Daviess
,,,,,2016-04-11,IL,Jo%Daviess
,,,,,2016-04-12,IL,Jo%Daviess
,,,,,2016-04-13,IL,Jo%Daviess
,,,,,2016-04-14,IL,Jo%Daviess
,,,,,2016-04-15,IL,Jo%Daviess
,,,,,2016-04-16,IL,Jo%Daviess
,,,,,2016-04-17,IL,Jo%Daviess
,,,,,2016-04-18,IL,Jo%Daviess
,,,,,2016-04-19,IL,Jo%Daviess
,,,,,2016-04-20,IL,Jo%Daviess
,,,,,2016-04-21,IL,Jo%Daviess
,,,,,2016-04-22,IL,Jo%Daviess
,,,,,2016-04-23,IL,Jo%Daviess
,,,,,2016-04-24,IL,Jo%Daviess
,,,,,2016-04-25,IL,Jo%Daviess
,,,,,2016-04-26,IL,Jo%Daviess
,,,,,2016-04-27,IL,Jo%Daviess
,,,,,2016-04-28,IL,Jo%Daviess
,,,,,2016-04-29,IL,Jo%Daviess
,,,,,2016-04-30,IL,Jo%Daviess
,,,,,2016-05-01,IL,Jo%Daviess
,,,,,2016-05-02,IL,Jo%Daviess
,,,,,2016-05-03,IL,Jo%Daviess
,,,,,2016-05-04,IL,Jo%Daviess
,,,,,2016-05-05,IL,Jo%Daviess
,,,,,2016-05-06,IL,Jo%Daviess
,,,,,2016-05-07,IL,Jo%Daviess
,,,,,2016-05-08,IL,Jo%Daviess
,,,,,2016-05-09,IL,Jo%Daviess
,,,,,2016-05-10,IL,Jo%Daviess
,,,,,2016-05-11,IL,Jo%Daviess
,,,,,2016-05-12,IL,Jo%Daviess
,,,,,2016-05-13,IL,Jo%Daviess
,,,,,2016-05-14,IL,Jo%Daviess
,,,,,2016-05-15,IL,Jo%Daviess
,,,,,2016-05-16,IL,Jo%Daviess
,,,,,2016-05-17,IL,Jo%Daviess
,,,,,2016-05-18,IL,Jo%Daviess
,,,,,2016-05-19,IL,Jo%Daviess
,,,,,2016-05-20,IL,Jo%Daviess
,,,,,2016-05-21,IL,Jo%Daviess
,,,,,2016-05-22,IL,Jo%Daviess
,,,,,2016-05-23,IL,Jo%Daviess
,,,,,2016-05-24,IL,Jo%Daviess
,,,,,2016-05-25,IL,Jo%Daviess
,,,,,2016-05-26,IL,Jo%Daviess
,,,,,2016-05-27,IL,Jo%Daviess
,,,,,2016-05-28,IL,Jo%Daviess
,,,,,2016-05-29,IL,Jo%Daviess
,,,,,2016-05-30,IL,Jo%Daviess
,,,,,2016-05-31,IL,Jo%Daviess
,,,,,2016-06-01,IL,Jo%Daviess
,,,,,2016-06-02,IL,Jo%Daviess
,,,,,2016-06-03,IL,Jo%Daviess
,,,,,2016-06-04,IL,Jo%Daviess
,,,,,2016-06-05,IL,Jo%Daviess
,,,,,2016-06-06,IL,Jo%Daviess
,,,,,2016-06-07,IL,Jo%Daviess
,,,,,2016-06-08,IL,Jo%Daviess
,,,,,2016-06-09,IL,Jo%Daviess
,,,,,2016-06-10,IL,Jo%Daviess
,,,,,2016-06-11,IL,Jo%Daviess
,,,,,2016-06-12,IL,Jo%Daviess
,,,,,2016-06-13,IL,Jo%Daviess
,,,,,2016-06-14,IL,Jo%Daviess
,,,,,2016-06-15,IL,Jo%Daviess
,,,,,2016-06-16,IL,Jo%Daviess
,,,,,2016-06-17,IL,Jo%Daviess
,,,,,2016-06-18,IL,Jo%Daviess
,,,,,2016-06-19,IL,Jo%Daviess
,,,,,2016-06-20,IL,Jo%Daviess
,,,,,2016-06-21,IL,Jo%Daviess
,,,,,2016-06-22,IL,Jo%Daviess
,,,,,2016-06-23,IL,Jo%Daviess
,,,,,2016-06-24,IL,Jo%Daviess
,,,,,2016-06-25,IL,Jo%Daviess
,,,,,2016-06-26,IL,Jo%Daviess
,,,,,2016-06-27,IL,Jo%Daviess
,,,,,2016-06-28,IL,Jo%Daviess
,,,,,2016-06-29,IL,Jo%Daviess
,,,,,2016-06-30,IL,Jo%Daviess
,,,,,2016-07-01,IL,Jo%Daviess
,,,,,2016-07-02,IL,Jo%Daviess
,,,,,2016-07-03,IL,Jo%Daviess
,,,,,2016-07-04,IL,Jo%Daviess
,,,,,2016-07-05,IL,Jo%Daviess
,,,,,2016-07-06,IL,Jo%Daviess
,,,,,2016-07-07,IL,Jo%Daviess
,,,,,2016-07-08,IL,Jo%Daviess
,,,,,2016-07-09,IL,Jo%Daviess
,,,,,2016-07-10,IL,Jo%Daviess
,,,,,2016-07-11,IL,Jo%Daviess
,,,,,2016-07-12,IL,Jo%Daviess
,,,,,2016-07-13,IL,Jo%Daviess
,,,,,2016-07-14,IL,Jo%Daviess
,,,,,2016-07-15,IL,Jo%Daviess
,,,,,2016-07-16,IL,Jo%Daviess
,,,,,2016-07-17,IL,Jo%Daviess
,,,,,2016-07-18,IL,Jo%Daviess
,,,,,2016-07-19,IL,Jo%Daviess
,,,,,2016-07-20,IL,Jo%Daviess
,,,,,2016-07-21,IL,Jo%Daviess
,,,,,2016-07-22,IL,Jo%Daviess
,,,,,2016-07-23,IL,Jo%Daviess
,,,,,2016-07-24,IL,Jo%Daviess
,,,,,2016-07-25,IL,Jo%Daviess
,,,,,2016-07-26,IL,Jo%Daviess
,,,,,2016-07-27,IL,Jo%Daviess
,,,,,2016-07-28,IL,Jo%Daviess
,,,,,2016-07-29,IL,Jo%Daviess
,,,,,2016-07-30,IL,Jo%Daviess
,,,,,2016-07-31,IL,Jo%Daviess
,,,,,2016-08-01,IL,Jo%Daviess
,,,,,2016-08-02,IL,Jo%Daviess
,,,,,2016-08-03,IL,Jo%Daviess
,,,,,2016-08-04,IL,Jo%Daviess
,,,,,2016-08-05,IL,Jo%Daviess
,,,,,2016-08-06,IL,Jo%Daviess
,,,,,2016-08-07,IL,Jo%Daviess
,,,,,2016-08-08,IL,Jo%Daviess
,,,,,2016-08-09,IL,Jo%Daviess
,,,,,2016-08-10,IL,Jo%Daviess
,,,,,2016-08-11,IL,Jo%Daviess
,,,,,2016-08-12,IL,Jo%Daviess
,,,,,2016-08-13,IL,Jo%Daviess
,,,,,2016-08-14,IL,Jo%Daviess
,,,,,2016-08-15,IL,Jo%Daviess
,,,,,2016-08-16,IL,Jo%Daviess
,,,,,2016-08-17,IL,Jo%Daviess
,,,,,2016-08-18,IL,Jo%Daviess
,,,,,2016-08-19,IL,Jo%Daviess
,,,,,2016-08-20,IL,Jo%Daviess
,,,,,2016-08-21,IL,Jo%Daviess
,,,,,2016-08-22,IL,Jo%Daviess
,,,,,2016-08-23,IL,Jo%Daviess
,,,,,2016-08-24,IL,Jo%Daviess
,,,,,2016-08-25,IL,Jo%Daviess
,,,,,2016-08-26,IL,Jo%Daviess
,,,,,2016-08-27,IL,Jo%Daviess
,,,,,2016-08-28,IL,Jo%Daviess
,,,,,2016-08-29,IL,Jo%Daviess
,,,,,2016-08-30,IL,Jo%Daviess
,,,,,2016-08-31,IL,Jo%Daviess
,,,,,2016-09-01,IL,Jo%Daviess
,,,,,2016-09-02,IL,Jo%Daviess
,,,,,2016-09-03,IL,Jo%Daviess
,,,,,2016-09-04,IL,Jo%Daviess
,,,,,2016-09-05,IL,Jo%Daviess
,,,,,2016-09-06,IL,Jo%Daviess
,,,,,2016-09-07,IL,Jo%Daviess
,,,,,2016-09-08,IL,Jo%Daviess
,,,,,2016-09-09,IL,Jo%Daviess
,,,,,2016-09-10,IL,Jo%Daviess
,,,,,2016-09-11,IL,Jo%Daviess
,,,,,2016-09-12,IL,Jo%Daviess
,,,,,2016-09-13,IL,Jo%Daviess
,,,,,2016-09-14,IL,Jo%Daviess
,,,,,2016-09-15,IL,Jo%Daviess
,,,,,2016-09-16,IL,Jo%Daviess
,,,,,2016-09-17,IL,Jo%Daviess
,,,,,2016-09-18,IL,Jo%Daviess
,,,,,2016-09-19,IL,Jo%Daviess
,,,,,2016-09-20,IL,Jo%Daviess
,,,,,2016-09-21,IL,Jo%Daviess
,,,,,2016-09-22,IL,Jo%Daviess
,,,,,2016-09-23,IL,Jo%Daviess
,,,,,2016-09-24,IL,Jo%Daviess
,,,,,2016-09-25,IL,Jo%Daviess
,,,,,2016-09-26,IL,Jo%Daviess
,,,,,2016-09-27,IL,Jo%Daviess
,,,,,2016-09-28,IL,Jo%Daviess
,,,,,2016-09-29,IL,Jo%Daviess
