air_temp_set_1,altimeter_set_1,wind_speed_set_1,relative_humidity_set_1,precip_accum_24_hour_set_1,Date,State,County
2.22,101693.2,2.68,74.0,0.0,2016-01-01,IN,Vigo
,,,,,2016-01-02,IN,Vigo
,,,,,2016-01-03,IN,Vigo
2.22,101252.97,1.79,73.0,0.0,2016-01-04,IN,Vigo
2.78,102099.57,0.9,61.0,0.0,2016-01-05,IN,Vigo
0.0,101930.25,0.0,68.0,0.0,2016-01-06,IN,Vigo
3.33,101286.84,0.0,61.0,0.0,2016-01-07,IN,Vigo
7.78,100541.83,0.0,64.0,0.0,2016-01-08,IN,Vigo
,,,,,2016-01-09,IN,Vigo
,,,,,2016-01-10,IN,Vigo
-7.78,100948.2,3.58,74.0,4.572,2016-01-11,IN,Vigo
-0.56,100169.33,2.23,72.0,0.0,2016-01-12,IN,Vigo
-6.11,101252.97,2.23,67.0,0.0,2016-01-13,IN,Vigo
-2.22,100304.78,1.34,70.0,0.0,2016-01-14,IN,Vigo
8.89,99559.78,0.45,74.0,0.0,2016-01-15,IN,Vigo
2.22,99153.41,2.23,86.0,3.048,2016-01-16,IN,Vigo
0.56,100507.97,1.79,75.0,0.0,2016-01-17,IN,Vigo
-9.44,101320.7,1.79,63.0,0.0,2016-01-18,IN,Vigo
-8.89,101625.47,2.68,67.0,0.0,2016-01-19,IN,Vigo
-5.56,101930.25,0.0,61.0,0.0,2016-01-20,IN,Vigo
-5.0,101354.56,0.0,71.0,1.27,2016-01-21,IN,Vigo
-2.22,101320.7,0.9,67.0,0.762,2016-01-22,IN,Vigo
-1.11,100880.47,2.23,80.0,0.0,2016-01-23,IN,Vigo
-0.56,100948.2,0.0,74.0,0.254,2016-01-24,IN,Vigo
1.67,100474.1,1.79,70.0,0.0,2016-01-25,IN,Vigo
8.33,99762.96,1.79,81.0,0.0,2016-01-26,IN,Vigo
2.22,101185.24,3.13,76.0,0.254,2016-01-27,IN,Vigo
1.11,100914.33,0.9,66.0,0.0,2016-01-28,IN,Vigo
7.22,99796.82,3.13,66.0,0.0,2016-01-29,IN,Vigo
3.33,100270.92,0.0,60.0,0.0,2016-01-30,IN,Vigo
11.11,99627.51,0.0,64.0,0.0,2016-01-31,IN,Vigo
15.0,99559.78,5.37,72.0,0.254,2016-02-01,IN,Vigo
6.67,100677.29,0.0,62.0,0.0,2016-02-02,IN,Vigo
17.22,98916.36,2.68,83.0,3.048,2016-02-03,IN,Vigo
3.33,100609.56,4.92,80.0,0.508,2016-02-04,IN,Vigo
0.0,101557.75,0.0,66.0,0.0,2016-02-05,IN,Vigo
1.67,101828.66,0.0,69.0,0.0,2016-02-06,IN,Vigo
6.11,101151.38,0.0,59.0,0.0,2016-02-07,IN,Vigo
8.89,99932.28,3.13,60.0,0.0,2016-02-08,IN,Vigo
-2.22,99898.42,2.23,77.0,1.27,2016-02-09,IN,Vigo
-5.0,100338.65,1.34,77.0,0.0,2016-02-10,IN,Vigo
-4.44,100846.6,3.13,65.0,0.0,2016-02-11,IN,Vigo
-1.67,101456.15,0.0,59.0,0.0,2016-02-12,IN,Vigo
,,,,,2016-02-13,IN,Vigo
,,,,,2016-02-14,IN,Vigo
-5.0,100575.69,1.34,84.0,0.0,2016-02-15,IN,Vigo
2.22,99966.14,0.45,82.0,2.794,2016-02-16,IN,Vigo
3.89,100101.6,0.0,73.0,0.0,2016-02-17,IN,Vigo
3.89,101557.75,0.9,66.0,0.0,2016-02-18,IN,Vigo
7.78,100914.33,2.68,60.0,0.0,2016-02-19,IN,Vigo
,,,,,2016-02-20,IN,Vigo
,,,,,2016-02-21,IN,Vigo
10.280000000000001,99813.76000000001,0.0,66.5,1.397,2016-02-22,IN,Vigo
7.5,99729.1,0.0,68.0,0.0,2016-02-23,IN,Vigo
8.89,99068.75,1.34,59.0,0.0,2016-02-24,IN,Vigo
2.22,98882.5,2.68,91.0,25.146,2016-02-25,IN,Vigo
3.33,100880.47,2.23,75.0,6.35,2016-02-26,IN,Vigo
3.33,101252.97,2.68,67.0,0.0,2016-02-27,IN,Vigo
,,,,,2016-02-28,IN,Vigo
,,,,,2016-02-29,IN,Vigo
,,,,,2016-03-01,IN,Vigo
,,,,,2016-03-02,IN,Vigo
2.78,99017.96,0.0,59.0,0.0,2016-03-03,IN,Vigo
6.115,99492.04999999999,0.0,90.5,1.27,2016-03-04,IN,Vigo
5.56,99983.07500000001,0.0,58.0,1.651,2016-03-05,IN,Vigo
7.225,100220.125,0.45,74.0,0.0,2016-03-06,IN,Vigo
11.11,100778.88,0.9,58.0,0.0,2016-03-07,IN,Vigo
16.67,100338.65,1.34,44.0,3.302,2016-03-08,IN,Vigo
20.0,100304.78,1.34,59.0,0.0,2016-03-09,IN,Vigo
16.11,100507.97,0.0,86.0,0.508,2016-03-10,IN,Vigo
11.11,100880.47,0.9,85.0,16.002,2016-03-11,IN,Vigo
,,,,,2016-03-12,IN,Vigo
,,,,,2016-03-13,IN,Vigo
18.89,99492.05,0.0,74.0,2.794,2016-03-14,IN,Vigo
15.56,99661.37,0.9,84.0,14.224,2016-03-15,IN,Vigo
23.33,98916.36,1.34,54.0,0.254,2016-03-16,IN,Vigo
15.0,100203.19,2.68,36.0,1.016,2016-03-17,IN,Vigo
14.44,100372.51,2.23,35.0,0.0,2016-03-18,IN,Vigo
,,,,,2016-03-19,IN,Vigo
,,,,,2016-03-20,IN,Vigo
8.33,101083.65,2.23,44.0,0.0,2016-03-21,IN,Vigo
11.11,100914.33,1.34,44.0,0.0,2016-03-22,IN,Vigo
17.22,99729.1,2.23,34.0,0.0,2016-03-23,IN,Vigo
17.22,99864.55,2.68,63.0,0.0,2016-03-24,IN,Vigo
,,,,,2016-03-25,IN,Vigo
,,,,,2016-03-26,IN,Vigo
,,,,,2016-03-27,IN,Vigo
,,,,,2016-03-28,IN,Vigo
,,,,,2016-03-29,IN,Vigo
,,,,,2016-03-30,IN,Vigo
,,,,,2016-03-31,IN,Vigo
,,,,,2016-04-01,IN,Vigo
,,,,,2016-04-02,IN,Vigo
,,,,,2016-04-03,IN,Vigo
,,,,,2016-04-04,IN,Vigo
,,,,,2016-04-05,IN,Vigo
,,,,,2016-04-06,IN,Vigo
,,,,,2016-04-07,IN,Vigo
,,,,,2016-04-08,IN,Vigo
,,,,,2016-04-09,IN,Vigo
,,,,,2016-04-10,IN,Vigo
,,,,,2016-04-11,IN,Vigo
,,,,,2016-04-12,IN,Vigo
,,,,,2016-04-13,IN,Vigo
,,,,,2016-04-14,IN,Vigo
,,,,,2016-04-15,IN,Vigo
,,,,,2016-04-16,IN,Vigo
,,,,,2016-04-17,IN,Vigo
,,,,,2016-04-18,IN,Vigo
,,,,,2016-04-19,IN,Vigo
,,,,,2016-04-20,IN,Vigo
,,,,,2016-04-21,IN,Vigo
,,,,,2016-04-22,IN,Vigo
,,,,,2016-04-23,IN,Vigo
,,,,,2016-04-24,IN,Vigo
,,,,,2016-04-25,IN,Vigo
,,,,,2016-04-26,IN,Vigo
,,,,,2016-04-27,IN,Vigo
,,,,,2016-04-28,IN,Vigo
,,,,,2016-04-29,IN,Vigo
,,,,,2016-04-30,IN,Vigo
,,,,,2016-05-01,IN,Vigo
,,,,,2016-05-02,IN,Vigo
,,,,,2016-05-03,IN,Vigo
,,,,,2016-05-04,IN,Vigo
,,,,,2016-05-05,IN,Vigo
,,,,,2016-05-06,IN,Vigo
,,,,,2016-05-07,IN,Vigo
,,,,,2016-05-08,IN,Vigo
,,,,,2016-05-09,IN,Vigo
,,,,,2016-05-10,IN,Vigo
,,,,,2016-05-11,IN,Vigo
,,,,,2016-05-12,IN,Vigo
,,,,,2016-05-13,IN,Vigo
,,,,,2016-05-14,IN,Vigo
,,,,,2016-05-15,IN,Vigo
,,,,,2016-05-16,IN,Vigo
,,,,,2016-05-17,IN,Vigo
,,,,,2016-05-18,IN,Vigo
,,,,,2016-05-19,IN,Vigo
,,,,,2016-05-20,IN,Vigo
,,,,,2016-05-21,IN,Vigo
,,,,,2016-05-22,IN,Vigo
,,,,,2016-05-23,IN,Vigo
,,,,,2016-05-24,IN,Vigo
,,,,,2016-05-25,IN,Vigo
,,,,,2016-05-26,IN,Vigo
,,,,,2016-05-27,IN,Vigo
,,,,,2016-05-28,IN,Vigo
,,,,,2016-05-29,IN,Vigo
,,,,,2016-05-30,IN,Vigo
,,,,,2016-05-31,IN,Vigo
,,,,,2016-06-01,IN,Vigo
,,,,,2016-06-02,IN,Vigo
,,,,,2016-06-03,IN,Vigo
,,,,,2016-06-04,IN,Vigo
,,,,,2016-06-05,IN,Vigo
,,,,,2016-06-06,IN,Vigo
,,,,,2016-06-07,IN,Vigo
,,,,,2016-06-08,IN,Vigo
28.33,98510.0,0.0,25.0,0.0,2016-06-09,IN,Vigo
,,,,,2016-06-10,IN,Vigo
