air_temp_set_1,altimeter_set_1,wind_speed_set_1,relative_humidity_set_1,precip_accum_24_hour_set_1,Date,State,County
-4.723333333333334,,1.155,73.8,,2016-01-01,WA,Garfield
-4.3999999999999995,,1.875,73.8,,2016-01-02,WA,Garfield
-4.446666666666666,,3.385,63.31,,2016-01-03,WA,Garfield
-3.596666666666667,,1.845,80.6,,2016-01-04,WA,Garfield
-0.26333333333333325,,1.205,70.8,,2016-01-05,WA,Garfield
0.6000000000000001,,1.1,72.8,,2016-01-06,WA,Garfield
2.2725,100745.01,0.4066666666666667,81.95,0.762,2016-01-07,WA,Garfield
-0.37000000000000005,,0.05,,,2016-01-08,WA,Garfield
1.07,,0.41000000000000003,84.7,,2016-01-09,WA,Garfield
-0.5499999999999999,,0.47000000000000003,89.1,,2016-01-10,WA,Garfield
0.28,,1.19,75.2,,2016-01-11,WA,Garfield
0.39000000000000007,,1.3199999999999998,75.3,,2016-01-12,WA,Garfield
4.153333333333333,,3.785,54.25,,2016-01-13,WA,Garfield
3.8066666666666666,,1.825,96.8,,2016-01-14,WA,Garfield
2.3433333333333333,,1.6349999999999998,62.07,,2016-01-15,WA,Garfield
-0.3699999999999999,,0.54,,,2016-01-16,WA,Garfield
3.47,,1.125,85.3,,2016-01-17,WA,Garfield
4.04,,2.63,88.7,,2016-01-18,WA,Garfield
4.676666666666667,,0.8500000000000001,81.6,,2016-01-19,WA,Garfield
5.956666666666667,,2.69,61.32,,2016-01-20,WA,Garfield
5.87,102404.34,0.8933333333333332,61.155,3.81,2016-01-21,WA,Garfield
8.743333333333334,,3.4699999999999998,46.73,,2016-01-22,WA,Garfield
8.996666666666668,,1.26,51.28,,2016-01-23,WA,Garfield
4.946666666666666,,1.08,83.5,,2016-01-24,WA,Garfield
4.903333333333333,,0.645,60.42,,2016-01-25,WA,Garfield
5.413333333333334,,0.62,63.79,,2016-01-26,WA,Garfield
6.3,,1.49,68.43,,2016-01-27,WA,Garfield
6.993333333333332,,1.095,77.9,,2016-01-28,WA,Garfield
7.256666666666668,,2.58,77.5,,2016-01-29,WA,Garfield
5.423333333333333,,3.1399999999999997,61.55,,2016-01-30,WA,Garfield
2.6366666666666667,,0.845,68.24,,2016-01-31,WA,Garfield
2.6833333333333336,,1.175,50.15,,2016-02-01,WA,Garfield
2.56,,0.84,55.75,,2016-02-02,WA,Garfield
1.376666666666667,,0.8099999999999999,66.9,,2016-02-03,WA,Garfield
3.2899999999999996,,2.38,48.44,,2016-02-04,WA,Garfield
5.47,,1.69,65.43,,2016-02-05,WA,Garfield
8.32,,2.71,48.83,,2016-02-06,WA,Garfield
5.326666666666667,,1.145,57.17,,2016-02-07,WA,Garfield
8.219999999999999,,0.925,55.59,,2016-02-08,WA,Garfield
10.620000000000001,103521.85,0.24,58.765,0.0,2016-02-09,WA,Garfield
10.056666666666667,,0.8200000000000001,64.81,,2016-02-10,WA,Garfield
9.266666666666666,,1.19,69.64,,2016-02-11,WA,Garfield
10.0,,1.815,55.67,,2016-02-12,WA,Garfield
8.97,,1.075,80.4,,2016-02-13,WA,Garfield
6.406666666666666,,1.0699999999999998,57.96,,2016-02-14,WA,Garfield
10.16,101862.52,2.013333333333333,76.65,3.81,2016-02-15,WA,Garfield
9.67,,0.98,64.72,,2016-02-16,WA,Garfield
10.343333333333332,,0.845,61.19,,2016-02-17,WA,Garfield
11.323333333333332,,2.495,52.18,,2016-02-18,WA,Garfield
6.493333333333333,,2.185,54.13,,2016-02-19,WA,Garfield
6.93,,1.78,65.7,,2016-02-20,WA,Garfield
6.656666666666666,,1.05,40.27,,2016-02-21,WA,Garfield
7.103333333333334,,1.725,48.21,,2016-02-22,WA,Garfield
