,State,County,Abbreviation
211,Georgia,Paulding,GA
212,Georgia,Pike,GA
213,Georgia,Richmond,GA
214,Georgia,Rockdale,GA
215,Georgia,Sumter,GA
216,Georgia,Walker,GA
217,Georgia,Washington,GA
218,Georgia,Wilkinson,GA
219,Hawaii,Hawaii,HI
220,Hawaii,Honolulu,HI
221,Hawaii,Kauai,HI
222,Hawaii,Maui,HI
223,Idaho,Ada,ID
224,Idaho,Bannock,ID
225,Idaho,Benewah,ID
226,Idaho,Bonner,ID
227,Idaho,Butte,ID
228,Idaho,Canyon,ID
229,Idaho,Caribou,ID
230,Idaho,Custer,ID
231,Idaho,Franklin,ID
232,Idaho,Lemhi,ID
233,Idaho,Shoshone,ID
234,Illinois,Adams,IL
235,Illinois,Champaign,IL
236,Illinois,Clark,IL
237,Illinois,Cook,IL
238,Illinois,DuPage,IL
239,Illinois,Effingham,IL
240,Illinois,Hamilton,IL
241,Illinois,Jersey,IL
242,Illinois,Jo Daviess,IL
243,Illinois,Kane,IL
244,Illinois,La Salle,IL
245,Illinois,Lake,IL
246,Illinois,Macon,IL
247,Illinois,Macoupin,IL
248,Illinois,Madison,IL
249,Illinois,McHenry,IL
250,Illinois,McLean,IL
251,Illinois,Peoria,IL
252,Illinois,Randolph,IL
253,Illinois,Rock Island,IL
254,Illinois,Saint Clair,IL
255,Illinois,Sangamon,IL
256,Illinois,Tazewell,IL
257,Illinois,Wabash,IL
258,Illinois,Will,IL
259,Illinois,Winnebago,IL
260,Indiana,Allen,IN
261,Indiana,Bartholomew,IN
262,Indiana,Boone,IN
263,Indiana,Brown,IN
264,Indiana,Carroll,IN
265,Indiana,Clark,IN
266,Indiana,Daviess,IN
267,Indiana,Delaware,IN
268,Indiana,Dubois,IN
269,Indiana,Elkhart,IN
270,Indiana,Floyd,IN
271,Indiana,Fountain,IN
272,Indiana,Gibson,IN
273,Indiana,Greene,IN
274,Indiana,Hamilton,IN
275,Indiana,Hancock,IN
276,Indiana,Hendricks,IN
277,Indiana,Henry,IN
278,Indiana,Howard,IN
279,Indiana,Huntington,IN
280,Indiana,Jackson,IN
281,Indiana,Jasper,IN
282,Indiana,Johnson,IN
283,Indiana,Knox,IN
284,Indiana,LaPorte,IN
285,Indiana,Lake,IN
286,Indiana,Madison,IN
287,Indiana,Marion,IN
288,Indiana,Monroe,IN
289,Indiana,Montgomery,IN
290,Indiana,Morgan,IN
291,Indiana,Perry,IN
292,Indiana,Pike,IN
293,Indiana,Porter,IN
294,Indiana,Posey,IN
295,Indiana,Shelby,IN
296,Indiana,Spencer,IN
297,Indiana,St. Joseph,IN
298,Indiana,Tippecanoe,IN
299,Indiana,Vanderburgh,IN
