,State,County,Abbreviation
852,Tennessee,Madison,TN
853,Tennessee,Maury,TN
854,Tennessee,McMinn,TN
855,Tennessee,Montgomery,TN
856,Tennessee,Putnam,TN
857,Tennessee,Roane,TN
858,Tennessee,Sevier,TN
859,Tennessee,Shelby,TN
860,Tennessee,Sullivan,TN
861,Tennessee,Sumner,TN
862,Tennessee,Union,TN
863,Tennessee,Williamson,TN
864,Tennessee,Wilson,TN
865,Texas,Bell,TX
866,Texas,Bexar,TX
867,Texas,Bowie,TX
868,Texas,Brazoria,TX
869,Texas,Brewster,TX
870,Texas,Cameron,TX
871,Texas,Collin,TX
872,Texas,Culberson,TX
873,Texas,Dallas,TX
874,Texas,Denton,TX
875,Texas,Ector,TX
876,Texas,El Paso,TX
877,Texas,Ellis,TX
878,Texas,Fayette,TX
879,Texas,Galveston,TX
880,Texas,Gregg,TX
881,Texas,Harris,TX
882,Texas,Harrison,TX
883,Texas,Hidalgo,TX
884,Texas,Hood,TX
885,Texas,Hunt,TX
886,Texas,Jefferson,TX
887,Texas,Johnson,TX
888,Texas,Kaufman,TX
889,Texas,Kleberg,TX
890,Texas,Lubbock,TX
891,Texas,Maverick,TX
892,Texas,McLennan,TX
893,Texas,Montgomery,TX
894,Texas,Navarro,TX
895,Texas,Nueces,TX
896,Texas,Orange,TX
897,Texas,Parker,TX
898,Texas,Polk,TX
899,Texas,Potter,TX
