air_temp_set_1,altimeter_set_1,precip_accum_24_hour_set_1,relative_humidity_set_1,wind_speed_set_1,Date,State,County
-1.11,101557.75,,80.0,7.15,2016-01-01,MA,Berkshire
-3.33,101252.975,0.508,87.0,2.46,2016-01-02,MA,Berkshire
-3.33,101354.56,,72.0,3.58,2016-01-03,MA,Berkshire
0.0,100931.265,0.0,74.0,2.46,2016-01-04,MA,Berkshire
-16.67,102404.345,0.0,75.5,1.7850000000000001,2016-01-05,MA,Berkshire
-11.115,103538.78,0.0,60.0,0.45,2016-01-06,MA,Berkshire
-2.78,102946.16,,32.0,0.45,2016-01-07,MA,Berkshire
-3.89,102573.66,,53.0,0.0,2016-01-08,MA,Berkshire
-1.67,102336.62,,90.0,1.79,2016-01-09,MA,Berkshire
0.56,102268.89,,96.0,0.0,2016-01-10,MA,Berkshire
7.220000000000001,99153.41500000001,0.0,94.5,2.46,2016-01-11,MA,Berkshire
-8.61,101422.29000000001,0.254,51.0,4.245,2016-01-12,MA,Berkshire
-2.9633333333333334,100180.61666666665,0.0,94.0,0.3,2016-01-13,MA,Berkshire
-11.67,101286.84,,65.0,4.02,2016-01-14,MA,Berkshire
-7.78,101388.43,,77.0,0.0,2016-01-15,MA,Berkshire
1.1099999999999999,100914.33,0.0,83.0,1.79,2016-01-16,MA,Berkshire
1.3900000000000001,100237.06,10.16,91.5,2.235,2016-01-17,MA,Berkshire
-5.0,100609.56,,75.0,0.45,2016-01-18,MA,Berkshire
-12.22,100745.01,,84.0,7.6,2016-01-19,MA,Berkshire
-10.56,101286.84,,73.0,4.02,2016-01-20,MA,Berkshire
-6.8500000000000005,101783.50333333334,0.127,65.66666666666667,1.1933333333333334,2016-01-21,MA,Berkshire
-6.665000000000001,102099.565,0.0,62.5,2.46,2016-01-22,MA,Berkshire
-9.44,102336.62,,62.0,0.0,2016-01-23,MA,Berkshire
-5.555,100965.125,0.0,45.5,1.345,2016-01-24,MA,Berkshire
-7.22,101642.405,0.0,61.5,2.235,2016-01-25,MA,Berkshire
,,,,,2016-01-26,MA,Berkshire
6.39,100982.06,0.254,70.5,5.59,2016-01-27,MA,Berkshire
-3.055,101760.93,0.0,63.5,1.79,2016-01-28,MA,Berkshire
-1.11,100711.15,,65.0,1.34,2016-01-29,MA,Berkshire
-6.11,100203.19,,84.0,4.92,2016-01-30,MA,Berkshire
-1.11,101286.84,,44.0,2.23,2016-01-31,MA,Berkshire
5.275,100829.675,0.0,64.5,0.0,2016-02-01,MA,Berkshire
2.7750000000000004,101388.43,0.0,67.0,2.235,2016-02-02,MA,Berkshire
-0.56,102776.85,,64.0,0.0,2016-02-03,MA,Berkshire
11.11,100914.33,,99.0,2.68,2016-02-04,MA,Berkshire
0.56,101828.66,,68.0,0.9,2016-02-05,MA,Berkshire
-4.44,102133.43,,61.0,3.58,2016-02-06,MA,Berkshire
-0.835,102353.54999999999,0.0,60.0,1.79,2016-02-07,MA,Berkshire
-1.11,101794.79,,64.0,0.0,2016-02-08,MA,Berkshire
-8.89,100812.74,,89.0,0.9,2016-02-09,MA,Berkshire
-4.445,100203.19,3.048,83.5,0.67,2016-02-10,MA,Berkshire
-5.0,100304.78,,92.0,2.68,2016-02-11,MA,Berkshire
-14.17,101354.565,0.0,69.5,3.13,2016-02-12,MA,Berkshire
-10.56,101557.75,,51.0,2.23,2016-02-13,MA,Berkshire
-21.665,102116.5,,45.5,3.8,2016-02-14,MA,Berkshire
